"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Tetotér","Panelprogram","Parkolóhely ára"
"11","IV. kerület, Sándor István utca","125,72 millió Ft","100 m²","4","A épület 402. lakásA Homoktövis lakókert részeként, az Íves út melletti beruházás V. üteme keretében 2 épületben összesen 72 lakás épül. Az épületek illeszkednek a már elkészült házakhoz, mind minoségben, mind stílusban.Mindkét épület földszintjén lakások és üzlethelyiségek is kialakításra kerülnek. A terület: Újpesten, a Homoktövis lakókert részeként az Íves út melletti területen modern, korszeru, kis lakóközösségu, társasházi lakások épülnek.A lakópark a város szélén, egybefüggo zöldterületen helyezkedik el, amely jól megközelítheto tömegközlekedéssel, és autóval is. A területnek mindössze 25%-a kerül beépítésre, így zöldterületet parkok, elokertek, pihenok, valamint az épületegyüttesek közé telepített fasorok is növelik, teszik igazán élhetové. Közelben található bölcsode, óvoda, iskola, uszoda, az Aquaworld, Auchan, Decathlon, Bauhaus, stb..Az épületek: Az épületek minoségi anyagok felhasználásával, a lakások a vevoi igényeket is figyelembe véve kerülnek kialakításra. A fiatalok és a többgyermekes családok igényeire is gondolva, több típusú lakás került kialakításra. A kényelmes otthon megteremtéséhez, a természetes élettér kialakításához a tágas teraszok, ablakok jelentosen hozzájárulnak. A lakók kényelme érdekében lift kerül beépítésre, megkönnyítve a kis gyermekkel beköltözok, illetve a nagyobb csomaggal érkezok mindennapjait. A lakások átadása 2023. II. negyedévA lakások:A lakások tervezése során fo szempont volt a modern, jól tagolt, tágas belso terek kialakítása. A földszinti lakások saját kertrésszel, az emeleti lakások nagy méretu erkéllyel, míg a legfelso szinten lévo penthouse lakások hatalmas tetoteraszokkal kerülnek megépítésre. A burkolatok, szaniterek, beltéri ajtók választhatók, ezzel is egyedi, a saját ízlésnek megfelelo otthon teremtheto meg.Helyszíni értékesítési iroda: Homoktövis Ingatlanközvetítés, IV. ker. Homoktövis u. 107. További lakástípusokért, alaprajzokért kérem, látogasson el weboldalunkra.","nincs megadva","2023","duplakomfortos","nincs megadva","4","4","van","3 m-nél alacsonyabb","fan-coil, megújuló energia","van","nincs megadva","igen","külön helyiségben","nincs megadva","nincs megadva","97 m²","nincs megadva","teremgarázs hely - megvásárolható","penthouse",NA,NA
"12","IV. kerület, Sándor István utca","66,76 millió Ft","63 m²","3","B épület 107. lakásA Homoktövis lakókert részeként, az Íves út melletti beruházás V. üteme keretében 2 épületben összesen 72 lakás épül. Az épületek illeszkednek a már elkészült házakhoz, mind minoségben, mind stílusban.Mindkét épület földszintjén lakások és üzlethelyiségek is kialakításra kerülnek. A terület: Újpesten, a Homoktövis lakókert részeként az Íves út melletti területen modern, korszeru, kis lakóközösségu, társasházi lakások épülnek.A lakópark a város szélén, egybefüggo zöldterületen helyezkedik el, amely jól megközelítheto tömegközlekedéssel, és autóval is. A területnek mindössze 25%-a kerül beépítésre, így zöldterületet parkok, elokertek, pihenok, valamint az épületegyüttesek közé telepített fasorok is növelik, teszik igazán élhetové. Közelben található bölcsode, óvoda, iskola, uszoda, az Aquaworld, Auchan, Decathlon, Bauhaus, stb..Az épületek: Az épületek minoségi anyagok felhasználásával, a lakások a vevoi igényeket is figyelembe véve kerülnek kialakításra. A fiatalok és a többgyermekes családok igényeire is gondolva, több típusú lakás került kialakításra. A kényelmes otthon megteremtéséhez, a természetes élettér kialakításához a tágas teraszok, ablakok jelentosen hozzájárulnak. A lakók kényelme érdekében lift kerül beépítésre, megkönnyítve a kis gyermekkel beköltözok, illetve a nagyobb csomaggal érkezok mindennapjait. A lakások átadása 2023. II. negyedévA lakások:A lakások tervezése során fo szempont volt a modern, jól tagolt, tágas belso terek kialakítása. A földszinti lakások saját kertrésszel, az emeleti lakások nagy méretu erkéllyel, míg a legfelso szinten lévo penthouse lakások hatalmas tetoteraszokkal kerülnek megépítésre. A burkolatok, szaniterek, beltéri ajtók választhatók, ezzel is egyedi, a saját ízlésnek megfelelo otthon teremtheto meg.Helyszíni értékesítési iroda: Homoktövis Ingatlanközvetítés, IV. ker. Homoktövis u. 107. További lakástípusokért, alaprajzokért kérem, látogasson el weboldalunkra.","nincs megadva","2023","duplakomfortos","nincs megadva","1","4","van","3 m-nél alacsonyabb","fan-coil, megújuló energia","van","nincs megadva","igen","nincs megadva","nincs megadva","nincs megadva","20 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"13","XI. kerület, Sashegy","70 millió Ft","74 m²","3","Sashegyen, a Muskotály utcában eladó 2 lakásos társasházban, egy szintes, 74 nm-es lakás, saját, kizárólagos használatú, elkülönített kertrésszel. Budai, csendes, családiházas környezetben, még is pár percre a BAH csomóponttól, így kiváló az infrastruktúra! Családosoknak és fiatal párok számára is alkalmas a környezet és maga az ingatlan is.A jelenlegi belso kialakítás könnyen átalakítható a mai modern igényeknek megfeleloen. Igazán sok lehetoség rejlik az ingatlanon belül és kívül is. Remek lehetoség mindazoknak, akik saját maguk ízlése és igénye szerint kívánják kialakítani új otthonukat, vagy akár befektetés céljából.Az ingatlanról:- tágas helyiségek- nappali+konyha, étkezo, 2 hálószoba, fürdoszoba, közlekedo- szinteltolásos kert rész- 3 nyitott gépkocsi beálló - saját pince az udvarban-az utcán ingyenes parkolásKözlekedés: -17-es, 61-es villamos-212-es, 24-es, 8E, 108E, 110-es, 112-es, 139-es, 140A és a 140-es autóbusz-M7, M1 autópálya Infrastruktúra:-MOM Park-Hegyvidék Bevásárló Központ-BIO piac-benzinkút (0-24 SPÁR élelmiszer shoppal)Gyozodjen meg személyesen is, az általam kínált ingatlan kiválóságáról és keressen bizalommal!","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"14","XI. kerület, Szentimreváros","111 millió Ft","140 m²","5","Eladóvá vált a Villányi út legelején, pár lépésre a Móricz Zsigmond körtértol, egy elso emeleti, 5 szobás, 2 bejárattal rendelkezo, nagypolgári lakás.A szobák különnyílóak, hatalmas terek , gyönyöru, eredeti nyílászárók, nagy belmagasság (380 cm) orzik a nagypolgári életérzést.A nappali és egy nagy szoba a Villányi útra néz, a többi helyiség a zöld belso udvarra nyílik és hihetetlenül csendes.A lakás állapota átlagos, futése gáz cirkó, fa parketta, jó fényviszonyok jellemzik.Az  1900-as évek elején épült ház jó állapotú, lifttel rendelkezik.A bejárat és belso ablakok elott végigfutó függofolyosó zárható, kizárólag ehhez az ingatlanhoz tartozikA lakás közös költsége 22 ezer Ft/hó, a lakásban minden egyedi mérovel mérheto, 2 vízóra is van.Központi elhelyezkedése, alaprajza, tágas terei, külön nyíló helyiségei alkalmassá teszik az ingatlant bármilyen reprezentetív irodai , céges tevékenység kialakítására.Lehet csodaszép, nagypolgári családi otthon, de két bejárata két külön lakás létrehozását is lehetové teszi, így befektetoknek is ajánlom.Megtekintése elozetes egyeztetés után lehetséges.","közepes állapotú","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","6 m²","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"15","Pécs, Tildy Zoltán utca","18 millió Ft","29 m²","1","Pécs-kertvárosban, frekventált helyen a Magnum lakóparkban, egy akadálymentesített, liftes társasház elso emeletén eladó egy nagy erkélyes, megkímélt állapotú, frissen festett, napfényes, tégla építésu garzonlakásAz ingatlanhoz tartozik, egy 5m2-es saját tároló!Házközponti a futése, egyedi mérovel, ezért a rezsi költsége nagyon kedvezo.Tehermentes és azonnal költözheto!Referencia szám: LK017849","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","házközponti","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"16","III. kerület, Bécsi út","226 millió Ft","164 m²","4","A III. kerületben található Golden Hill lakóparkban eladó a Hármashatár-hegyre panorámás újépítésu PENTHOUSE lakás. A könnyen elérheto tömegközlekedés (BKV, Volánbusz, vonat) mellett a zöldello természet is karnyújtásnyira található, ezáltal háziállattal költözoknek is ideális a lakás. Nagy bevásárlóközpontok szintén pár percnyi autóútra (Tesco, Auchan, Lidl).A lakás maga 164 nm, mely 3 db hálószobából, 1 db gardróbból, 2 db fürdoszobából, étkezobol és konyhából áll. A lakáshoz 2 db 9.6 nm-es, valamint 1 db 7.5 nm-es TERASZ kapcsolódik, ezen felül egy 250 nm-es KERT (ajándék futheto medencével) és egy 160 nm-es PANORÁMÁS TETOTERASZ (ajándék jakuzzi, bárpult, nyári konyha) biztosítja a leendo lakók otthoni kikapcsolódását. Panorámás lift szintén tartozik a lakáshoz!Az ingatlan szerkezetkész, aláíráskor 50 %, szerzodéskötést követo 4 hónapon belül kulcsrakész.A képek látványtervek!Érdeklodés esetén keressen bizalommal.4369DROA","nincs megadva","2021","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","nincs megadva","igen","nincs megadva","nincs megadva",NA,NA
"17","Kecskemét, Bács-Kiskun megye","39,9 millió Ft","95 m²","2 + 1 fél","Kecskemét belvárosi napfényes lakás eladó!Negyedik emeleti liftes belvárosi lakás várja új gazdáját, csendes környezetben.  Lakás:- Eloszoba közlekedovel- Nappali- Két szoba- Fürdoszoba- Külön wc- Konyha étkezovel- Kamra- A közös költség 12 540 Ft/hóIrányár:39,9 M Ft 39900000 FtReferencia szám: LK520021","jó állapotú","1981 és 2000 között","nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"18","VII. kerület, Akácfa utca 57.","34,6 millió Ft","41 m²","2","Eladó a belváros szívében, VII. kerület Akácfa utcában, csendes  az udvarban fákkal, virágokkal teli magasföldszinti lakás Tulajdonostól. A lakásba 3 lépcsovel jutunk fel, így ránk nem jellemzo a földszinti dohos, vizes alapzat. Teljes villanyhálózat ki lett cserélve, a konvektorok fel lettek újítva, a burkolatokat kicseréltük,   a nyílászárókat most cseréljük muanyag, 3 rétegure. A szobák tágasak, külön nyílnak egy közös térbol, így teljesen elszeparáltak egymástól.  A nagyobbik szobában egy modern térelválasztóval van leválasztva a hálófülke rész. A konyha bútorozott, felszerelt. A lakás futése konvektorral és/vagy elektromos panellel és/vagy klímával oldható meg. A lakás hutése klímával megoldott., a meleg vizet bojler biztosítja. A fürdo és a wc egyben van. Airbnb engedéllyel rendelkezik, mely átadható. Most hosszútávra van kiadva két nagyon megbízható diáknak. Kérem elsosorban azok jelentkezzenek, akik a lakást kiadásra szánják, a bérlést továbbvinnék.A közlekedés kiváló, a villamos megállók (4-es, 6-os) csupán 1 percre vannak, de a lakás mégis csendes, mert az ablakok az udvarra néznek. A troli ott áll meg az utcánk végében.Költségek: közösköltség 13 500, víz kb 2000, villany kb 5000, gáz nyáron minimális, télen max 15 000.Ár: 34,6 millió forint.Kérem ingatlanosok ne jelentkezzenek.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","22 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"19","VII. kerület, Rottenbiller utca","35 millió Ft","37 m²","1 + 1 fél","Eladó a VII. kerületben, közel a Keleti pályaudvarhoz egy jó állapotú, 37 négyzetméteres, másfél szobás, második emeleti, világos, udvarra nézo lakás, egy rendezett költségvetésu, csendes, körfolyosós társasházban. A futésrol gázkonvektor, a meleg vízrol villanybojler gondoskodik. A gépészeti felújítás során a nyílászárókat is kicserélték és a kisebbik szobában egy 5 négyzetméteres fekvogalériát alakítottak ki. A közös költség 9.800,-Ft/hó, ami tartalmazza a vízfogyasztást is.A központi elhelyezkedésnek köszönhetoen a tömegközlekedés kiváló.A környéken minden megtalálható, amire egy családnak szüksége lehet.Az ingatlan befektetésnek is jó választás, mert könnyen kiadható.Az OTP Bankcsoport teljes köru ügyintézéssel áll az eladók és a vevok rendelkezésére. A kínálatunkból választott ingatlan finanszírozásához kedvezményes hitel- és lízingkonstrukciókat, lakástakarék-pénztári megoldásokat kínálunk. Az adásvételi szerzodés megkötéséhez igény szerint megbízható ügyvédi közremuködést biztosítunk, és segítséget nyújtunk az adásvételhez kapcsolódó ügyek intézéséhez.Hívjon bizalommal!","jó állapotú","1950 elott","összkomfortos","nincs megadva","2","4","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","egy helyiségben","északnyugat","udvari","nincs megadva","nem","utca, közterület - fizetos övezet","nem tetotéri",NA,NA
"20","Pécs, Etelka utca","21,5 millió Ft","40 m²","1 + 1 fél","Eladó 2016-ban felújított, újszeru állapotban lévo kertvárosi, elso emeleti lakás, bútorozottan.","újszeru","nincs megadva","összkomfortos","nincs megadva","1","4","nincs megadva","nincs megadva","távfutés","nincs megadva","35  Ft/hó","nincs megadva","egy helyiségben","nincs megadva","kertre néz","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"21","XI. kerület, Bártfai utca","49,9 millió Ft","50 m²","2","1115 Budapest, Bártfai utca 38., fszt Lakás alapterülete a tulajdoni lap szerint 48 m2, természetben 50 m2 a beépített erkély miatt.A lakás 2019 év elején teljes felújításon esett át. - külso nyílászárók cseréje – hoszigetelt üvegezésu muanyag ablakok redonnyel (konyha, szoba 01 és szoba 02)- bejárati ajtó cseréje – biztonsági ajtó- erkély beépítése és a nagyszobához való összekapcsolása - fürdoszoba teljes felújítása- WC teljes felújítása- konyha teljes felújítása (konyhabútor, mosogató, beépített gáztuzhely, süto, szagelszívó)- beépített szekrények teljes felújítása, cseréje tükör ajtóval (eloszoba, közlekedo)- hideg burkolatok teljes cseréje (eloszoba, közlekedo, fürdoszoba, WC, konyha)- eredeti tölgyfa parketta csiszolása, lakkozása- elektromos hálózat teljes felújítása (új villanyvezetékek beépítése a falazatba, új elektromos kapcsolószekrény beépítése, új aljzatok beépítése)- gipszkarton álmennyezet építése LED szalag világítással (fényeroszabályozással)  és LED spot lámpákkal   - gépészeti vezetékek teljes cseréje – víz és lefolyó vezetékek (fürdoszoba, WC, konyha)- gáz vezeték teljes cseréje (konyha)- belso ajtók mázolása- falak glettelése, festéseHA felkeltette érdeklodését, hívjon és nézzük meg együtt!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","földszint","10","van","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs","nincs megadva","nem","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","utca, közterület - fizetos övezet","nem tetotéri","nincs megadva",NA
"22","VII. kerület, Jósika utca 25.","80 millió Ft","104 m²","3 + 1 fél","Eladó 1. Emeleti 3+1 félszobás, duplakomfortos lakás. A házban folyamatosan haladnak a felújítási munkálatok. Legutóbb a homlokzat került teljes felújításra.Az erkélyrol, a ház elotti parkra lehet látni.A lakás duplakomforttal rendelkezik, továbbá a futés és melegvíz korszeru cirkófutésre lett cserélve.Bármi kérdése van, kérem keressen telefonon.Több ingatlanirodával is együttmuködök, köszönöm, de további segítséget nem kérek!","jó állapotú","1950 elott","duplakomfortos","nincs megadva","1","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nem","külön és egyben is","nincs megadva","utcai","2 m²","nem","utca, közterület","nem tetotéri",NA,NA
