"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Tetotér","Panelprogram","Parkolóhely ára"
"143","XX. kerület, Erzsébetfalva","71,3 millió Ft","71 m²","3","Az OTP Ingatlanpont kínálatában! Költözzön be álmai új otthonába 2022. nyári átadással! BB besorolású ingatlan! Zöld Otthon Program kedvezményes hitel igénybe veheto!!! Eladó Pesterzsébet csendes, családi házas övezetében, nagyon jó közlekedésu területén, új építésu, hatlakásos társasház (rendezett tulajdoni jogviszony) egyik belso kétszintes lakása. Az adott ingatlan a B épület második, középso lakása, nettó 71, 5nm-es, élheto, tágas és világos terekkel, 8,25 nm-es terasszal,75,2nm-es kizárólagos használatú, saját kertrésszel. Amerikai konyhás nappali, 2 szoba és duplakomfort várja új tulajdonosát! Az épület minoségi anyagokkal (kiváló minoségu 30 cm-es Bakonytherm N+F téglafalazat, 20cm-es Bakonytherm hanggáltló tégla zajstop falazó habarcsba rakva, minkét oldalon 5-5 cm hanggátló elotét fallal ellátva, levego-víz hoszivattyús futés, valamint melegvízellátás, riasztó rendszer ) kerül kivitelezésre. A beruházó megbízható, tapasztalt építési vállalkozó! Meghatározott ideig még választhatók a burkolatok, szaniterek és belso nyílászárók. Várható átadása 2022. augusztus. Teremgarázsban parkolóhely opcionálisan vásárolható! Az érvényben levo új családtámogatási rendszer keretében fiatal, 3 gyermeket vállaló házasoknak is ideális, életre szóló lakásmegoldás lehet. Iskola, óvoda, bölcsöde, bevásárlási lehetoségek, orvosi rendelo, bank, posta, kormányablak stb. rövid sétával is elérheto! Az OTP Ingatlanpont teljes köru ügyintézéssel áll az eladók és a vevok rendelkezésére! A kínálatunkból választott ingatlan finanszírozásához kedvezményes hitelkonstrukciókat, lakástakarék-pénztári megoldásokat kínálunk. Az adásvételi szerzodés megkötéséhez igény szerint megbízható ügyvédi közremuködést biztosítunk, és segítséget nyújtunk az adásvételhez kapcsolódó ügyek intézéséhez. Ha hirdetésünk felkeltette érdeklodését, kérem hívjon bizalommal a hét bármely napján!M204964","új építésu","2022","összkomfortos","BB","földszint","2","nincs megadva","3 m-nél alacsonyabb","megújuló energia, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","külön és egyben is","délkelet","kertre néz","8 m²","igen","teremgarázs hely - megvásárolható","nem tetotéri",NA,NA
"144","XIV. kerület, Szenice utca","95,9 millió Ft","80 m²","4","ZÖLD HITELLEL IS! ALSÓRÁKOS CSENDES UTCÁJÁBAN LUXUS KIVITELEZÉSU, LIFTES TÁRSASHÁZBAN LAKÁSOK LEKÖTHETOK!VÁRHATÓ ÁTDÁS 2022 MÁJUS!Alsórákos pici, csendes utcájában egyedi tervek alapján épül egy 5 lakásos társasház, melyben ez a lakás a földszinten található, 80 nm nappali + 3 szoba elosztású, saját terasszal és kizárólagos használatú kertrésszel.A teljes ház alatt MÉLYGARÁZS épül, melyben minden lakáshoz külön beálló, valamint tároló lesz kialakítva.Továbbá a ház lakóinak kényelmét szolgálja egy 320 nm-es közös használatú intim kert, MÉLYGARÁZSBÓL KÖZVETLEN LFIT.A ház magas muszaki tartalommal, igényes burkolatokkal rendelkezik, HOSZIVATTYÚ, FAL HUTÉS/FUTÉS.Környék ellátottsága kiváló, közelben BKV, vásárlási lehetoség. A szépen megújult Rákospatak partján sétálás és sportolási lehetoség.Referencia építkezés megtekintheto, muszaki dokumentációt email-ben tudunk küldeni.További lakások az iroda kínálatában még elérhetoek. - Fsz.;155nm.- 1.em; 80.4nm elkelt- 1.em 148 nm- 2.em 110nm, penthouse","új építésu","2021","duplakomfortos","nincs megadva","földszint","3","van","nincs megadva","hoszivattyú","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","kertre néz","6 m²","igen","teremgarázs hely - kötelezo megvenni","nincs megadva",NA,"3 500 000 Ft"
"145","Érd, Egervári utca","72,5 millió Ft","155 m²","5 + 1 fél","MINOSÉGI ANYAGOK FELHASZNÁLÁSÁVAL, MEGBÍZHATÓ, REFERENCIÁKKAL RENDELKEZO KIVITELEZO ÉPÍTI!AZ ÉPÜLET IKERHÁZ JELLEGU, IKERHÁZ ELSO FELÉBEN KETTO LAKÁS, NETTÓ 75 -M2/LAKÁS, IKERHÁZ HÁTSÓ FELÉBEN 115 M2, 1 LAKÁS LESZ KIALAKÍTVA!Csendre és jó levegore vágyik? Akkor válassza ezt az Érden épülo minden igényt kielégíto iker házat!Az elso lakás nettó 75 m2, hozzá tartozó telek mérete 360m2.Az ingatlan a legjobb minoségu építoanyagok felhasználásával épül, hogy az ingatlanvásárlás hosszú távon is értékálló befektetés legyen az itt élo emberek számára.Kiváló adottságú telek elonyeit figyelembe véve alaposan átgondolt tervezés alapján épülo ingatlan, benapozottsága optimális.A ház – csakúgy, mint a kivitelezo számtalan, megtekintheto referencia háza esetében is – magas minoségi anyagok felhasználásával és magas muszaki tartalommal épül.Rövid muszaki ismerteto:A fofalak 30-as Porotherm téglából épülnek, a homlokzatra 15cm-es Dryvit hoszigetelo rendszer kerül.A zárófödém egerendás beton födém, 25 cm szigeteléssel.A homlokzati nyílászárók 3 rétegu, 7 légkamrás muanyag nyílászárók.A ház futésérol gázcirkó gondoskodik.Ajánlom:Ajánlom mindazon gyerekes házaspároknak, pároknak, nyugdíjasoknak akik egy igazán kiváló, jól megközelítheto, jó adottságokkal rendelkezo, csendes, nyugodt helyen szeretnék élni a mindennapjaikat. Ha szeretne kiszabadulni a városi körforgásból, de mégsem akar végleg elszakadni tole, akkor a legjobb választás ez a környék, ahol az ébredés után saját teraszán kortyolhatja a reggeli kávéját, szippanthatja magába a friss levegot és hallgathatja a madarak csicsergését.A ház készpénzzel és hitellel is megvásárolható, finanszírozás esetén keressen Minket bátran!Ha ilyen adottságokkal rendelkezo házat szeretne, ne is keresse tovább, megtalálta.HÍVJON FEL, KÉRJEN EGY IDOPONTOT, JÖJJÖN, NÉZZE MEG!","új építésu","2021","összkomfortos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","udvari","20 m²","igen","önálló garázs","nincs megadva",NA,NA
"146","XIX. kerület, Kispest","53,5 millió Ft","59 m²","1 + 2 fél","BUDAPEST XIX. KERÜLETÉBEN, A KÖKI TERMINÁL KÖZELÉBEN, MAGAS MUSZAKI TARTALOMMAL ÉPÜLO LAKÓPARKBAN KÍNÁLUNK ELADÁSRA EXCLUSÍV, EGYEDI KIALAKÍTÁSÚ OTTHONOKAT!Az új építésu társasházban 11 darab, tágas terasszal rendelkezo lakás kerül megépítésre, 37 és 61 m2 közötti alapterülettel. A projekt különlegessége az épület tetoszintjén kialakításra kerülo, panorámás, nagy teraszos PENTHOUSE lakások. A lakások OKOS-OTTHON funkciókkal lesznek ellátva, teljesen automatizált, telefonos applikáción keresztül vezérelheto egységekkel. A lakók komfort fokozatának maximális elérése érdekében a társasház a következo extrákat tartalmazza: - felvonó- elektromos Zsaluzia árnyékolók- prémium nyílászárók- energiatakarékos hoszivattyúk- padló-mennyezet hutés-futés- napelem- intelligens otthont vezérlo automatizált rendszer- telefonos applikációról, távolról is elérheto elektronikai egységek- teremgarázs és belso udvari parkolók, valamint zárható tároló szekrények- közös használatú zárt udvarMinden lakáshoz tartozik terasz, illetve egy közös használatú biciklitároló a belso udvaron.Az udvari parkló 1,2 millió forint/db, a teremgarázs beálló pedig 1,905 millió forint/db kerül értékesítésre, ami a vételáron felül fizetendo!Elérheto lakás típusok: 1.emelet:  -L1: 45 m2, nappali + 1 hálószoba + 3 m2 terasz  -  Ára: 38,9 millió Ft- L2: 59 m2, nappali + 2 hálószoba + 3 m2 terasz  -  Ára: 49,9 millió Ft-L3: 61 m2, nappali + 2 hálószoba + 5 m2 terasz  -  Ára: 50,9 millió Ft-L4: 48 m2, nappali + 1 hálószoba + 8 m2 terasz  -  Ára: 41,9 millió Ft2. emelet: -L1: 45 m2, nappali + 1 hálószoba + 3 m2 terasz  -  Ára: 38,9 millió Ft-L2: 59 m2, nappali + 2 hálószoba + 3 m2 terasz  -  Ára: 49,9 millió Ft-L3: 61 m2, nappali + 2 hálószoba + 3 m2 terasz  -  Ára: 50,9 millió Ft -L4: 48 m2, nappali + 1 hálószoba + 8 m2 terasz  -  Ára: 41,9 millió Ft3. emelet: Penthouse szint-L1: 37 m2, nappali + 1 hálószoba + 16 m2 terasz - Ára: 35,9 millió Ft -L2: 59 m2, nappali + 2 hálószoba + 10 m2 terasz - Ára: 53,5 millió Ft-L3: 61 m2, nappali + 2 hálószoba + 25 m2 terasz - Ára: 60,9 millió FtA társasház tervezett átadása 2022 II. negyedév. A 2021.12.31-ig megkötött szerzodések mellé, minden egyes vásárlónknak lakásonként egy 300.000 forint értéku IKEA vásárlási utalványt biztosítunk!AZ ELÉRHETO LAKÁSOK LISTÁJÁRÓL ÉRDEKLODJÖN A MEGADOTT ELÉRHETOSÉGEKEN.CSOK + KAMATTÁMOGATOTT HITEL és ÁFA VISSZATÉRÍTÉS igénybe veheto.IRODÁNK INGYENES HITEL ÜGYINTÉZÉSSEL, TANÁCSADÁSSAL, SZÁMOS BANK AJÁNLÁSÁVAL ÉS AZ ÚJ CSOK FOLYÓSÍTÁSÁVAL VÁRJA ÜGYFELEIT!","új építésu","2022","összkomfortos","AA+","3","4","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","igen","külön helyiségben","délnyugat","nincs megadva","10 m²","nincs megadva","teremgarázs hely - megvásárolható","nincs megadva",NA,"1 000 000 Ft"
"147","III. kerület, Óbuda - Filatorigát","54,9 millió Ft","52 m²","2","FELÚJÍTOTT, HANGULATOS OTTHON CSENDES UTCÁBANMegvételre kínálom 52 nm-es, 2 szobás téglalakást.A lakás jellemzoi:- tágas amerikai konyhás nappali- ablakok muanyag nyílászárókat kaptak, melyek redonnyel és szúnyoghálóval rendelkeznek- elektromos- és vízhálózat ki van cserélve- új bejárati és beltéri ajtók kerültek beépítésre- futés kombi-cirkó, padlófutéssel- Dél-Nyugati tájolásnak köszönheto, rendkívül világos- a lakóház hoszigetelt- 2. emeleten helyezkedik el a lakás, lift nélküli házban- a társasház körülkerített osfás, parkos környezetben található meg- zárt parkolóhely igényelheto- pincében saját tároló tartozik a lakáshoz- az ingatlan üres, így gyorsan birtokba veheto- néhány perces sétával elérheto az 1-es villamos és számos buszjárat megállóiAmennyiben felújított, jó elrendezésu és alacsony rezsivel rendelkezo lakást keres jó helyen, akkor várom hívását a megadott telefonszámon.További ingatlanokért látogasson el weboldalunkra!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"148","VI. kerület, Mozsár utca","36,9 millió Ft","36 m²","2","Jó állapotú, 36m2-es lakás várja új tulajdonosát a Körúton belül!!TÁRSASHÁZA VI. kerületben, a Mozsár utcában található ez a 4 emeletes, átlagos állapotú tégla építésu ház. A lakóközösség rendes, tisztaságot tartanak az épületben! Az udvaron egy színházi tároló van kialakítva, így fentrol annak az üvegtetejét látni. A közös képviselet az elmúlt években rendberakta a ház anyagi helyzetét, és az elsok amit renoválnak majd, azok a körfolyosók. A lakáshoz egy a lépcsoházból nyíló, zárt folyosón keresztül jutunk, ami egy szomszéddal közös. Ide ki lehet tenni pl biciklit (ha a liftbe befért)LAKÁSA lakás a liftes épület 4. emeletén található. Jó állapotú,  2 szobás, 36m2-es, belmagassága 2.65m.Nagyon napfényes a lakás, hála a nagy ablakoknak, a déli- délnyugati tájolásnak, és annak hogy szemben a szomszéd épület egy szinttel alacsonyabb! Az eloszobának hála van hova ""megérkezni"" felakasztani a kabátot.A konyha is világos (éljen! nem csípem a sötét konyhákat..) mosogatógéppel felszerelt, és egy kamra nyílik belole. Itt tekercses vinyl padló lett letéve, az eloszobában és a fürdoben pedig járólap. A fürdo épp megfelelo méretu, új bojlerrel, új zuhanyzóval, új burkolatokkal! Az egész lakásban újak a villanyvezetékek! A kisebb szoba szélessége (a keskenyebb részen) 180cm, így még befér egy franciaágy! A szobák parkettája egy kis törodésnek már örülne. Új muanyag ablakok vannak, a bejárati ajtó az eredeti. Futését a nappaliban egy gázkonvektor adja, ami egész jól befuti az egész lakást, egyedül a konyhába érdemes majd egy elektromos panelt tenni még.A villany és a víz is fogyasztás alapján fizetendo.Közös költsége 9100 Ft, tartalmazza a felújítási alapot, takarítást, szemétszállítást, biztosítást.KÖRNYÉK & KÖZLEKEDÉSA közlekedés kifogástalan, az Oktogon 2 percre, a Nyugati Pályaudvar és az Opera pedig 5-5 perc sétára. Elit, értékálló környék! A közelben megtalálhatók szuper éttermek, boltok, a Westend City Center, a 4-es 6-ossal pedig pár perc alatt a Margitszigetre érünk!Hívjon bizalommal!Ir: 36,9M Ft","jó állapotú","1950 elott","komfortos","nincs megadva","4","4","van","3 m-nél alacsonyabb","gáz (konvektor)","van","nincs megadva","nem","egy helyiségben","délnyugat","udvari","nincs megadva","nem","utca, közterület - fizetos övezet","nem tetotéri",NA,NA
"149","XXII. kerület, Budafok","45,9 millió Ft","89 m²","2 + 1 fél","Budapest XXII. kerület, Budafok részén, sok-sok lehetosséget magában rejto kívülrol háznak mondanám, gyakorlatban társasház lakás a 2-es épületben, titulussal rendelkezo, eladó ingatlant kínálok Önöknek. Magánszemély vásárlása esetén, akár a meglévo alapterület bovítésével, 150 nm körüli kétszintes otthont is ki lehetne alakítani. Befekteto esetében, akár 2 db kétszintes, sorházi jellegu lakásnak is ideális lehetne? Az épületrol annyit, hogy társasház szerzodés van, melyben le vannak írva a saját és a közös területek. A lakás elott található zöld területrol fo tudnivaló, hogy a hirdetett lakás tartotta eddig rendben, de egy része közös tulajdonban van. Mivel társasház terület, ezért a szerzodésben konkrétan le van írva, hogy az épület külso felújítása, beleértve a tetot is a társasház feladata, de mivel a fo épület, mely teljesen megújult, 2 éve lett felújítva, ezért, a közösség várhatóan, 5-év múlva tudná ennek az ingatlannak a külso felújítását elkezdeni. Az ingatlan összközmuves a lakáshoz tartozó órák, saját órák, csak a tényleges költséget kell fizetni vízbol, villanyból és gázból. Internet, kábeltévé adott. A lakás hasznos területe jelen pillanatban 77.60 nm és a hozzátartozó tornác területe 11.80 nm. Összesen: 89.40 nmA lakás alatt található pince közös terület. Látszik belül az otthonon, hogy egy rendszert szerto ember lakta, mindennek meg van a helye, de a fürdoszoba és konyha felújítandó kategória, minden muködik, csak nem a mai stílust adja vissza! Tehát a falban a vezetékeket idovel frissíteni lehetne. Ami új a kombi cirkó, mellyel a radiátoros futés muködik, de a meleg víz még nincs rákötve, ezt a villany boyler biztosítja.Ha szeretne egy olyan ingatlant, melyet belülrol a saját igénye szerint szeretné felújítani. Fontos, hogy közlekedés szempontjából ideális helyen legyen, kulturált helyen, kisebb gyerekek esetén, bölcsode ,óvoda, iskola, gyerekrendelo a közelben. Buszmegálló és vonatállomás a közelben, az autópályák közelsége tökéletes autós közlekedést biztosítanak. Tehát sok pozitív tényezo van, mely az ingatlan melletti döntést segíti. Hirdetési ár: 45 900 000 Ft, mely jelen pillanatban alkuképes! Ha felkeltettem érdeklodését, kérem, hívjon bizalommal! Érdeklodni: Szakácsné P. TündeE-mail:","közepes állapotú","1950 elott","összkomfortos","nincs megadva","földszint","földszintes","nincs","3 m-nél magasabb","gáz (cirko), házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","északkelet","udvari","nincs megadva","igen","utca, közterület - ingyenes","nem tetotéri",NA,NA
"150","Érd, Balatoni út","57,9 millió Ft","76 m²","3","Érd, Érdliget centrumában eladó 2019-ben átadott lakás eladó!Társasházban 2 lakás található az elso emeleten, földszinten irodák vannak.A lakásban 2 szoba, eloszoba, konyha-étkezo-nappali, fürdoszoba  és mellékhelyiség található.Futés kondenzációs kazánnal van megoldva, radiátor és padlófutés a holeadás.Nyílászárok extra minoséguek, 3 rétegu szigeteléssel, redonnyel.Hálószobák csendes hátsó kertre néznek, nappali  utcafrontra néz.Az erkélyre mind a 2 szobából ki lehet jutni.A vételárba beletartozik a gépesített konyha, beépített szekrények.Minden helység klimatizált.Távfelügyelethez bekötött riasztó van kiépítve.Az ingatlan szigetelt, 15cm-es grafit szigetelést kapott.A felso szinten található 2 lakásnak nincs közös fala.A lakáshoz tartozik egy zárt udvari beálló.A lakás tehermentes, tisztasági festés után költözheto.Családoknak, pároknak, ajánlom, de elhelyezkedése véget akár irodának is funkcionálhat.További információkért keressen!","újszeru","2019","összkomfortos","BB","1","2","nincs","3 m-nél alacsonyabb","gázkazán, padlófutés","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","10 m²","nem","udvari beálló - benne van az árban","legfelso emelet, nem tetotéri",NA,NA
"151","Szeged, Belváros","21,99 millió Ft","42 m²","1 + 1 fél","Belvárosban, Pusztaszeri utca közelében jól karbantartott társasházban kínáljuk eladásra ezt a 42nm-es, 1,5 szobás 4. emeleti, erkélyes lakást udvari PARKOLÓVAL.A lakás frissen felújított, könnyen kiadható, költséghatékony lakhatást biztosít 1-2 személynek. Szobák külön nyílnak, tágas, erkélyes nappali és kisebb hálószoba.- szépen glettelt, festett falak- konyhában ízléses konyhabútor - zuhanykabinos fürdoszoba- új muanyag ablakok, redonnyel- klíma berendezés- hagyományos faparketta a szobákban- konvektoros futés- saját tároló az udvarban- kifejezetten alacsony fenntartási költség- hiánytalan infrastruktúra- zárt udvarban parkolóAZONNAL KÖLTÖZHETO","felújított","1981 és 2000 között","összkomfortos","nincs megadva","4","5","nincs","3 m-nél alacsonyabb","gáz (konvektor)","van","nincs megadva","nem","egy helyiségben","délkelet","panorámás","4 m²","nem","udvari beálló - benne van az árban","legfelso emelet, nem tetotéri",NA,NA
"152","XX. kerület, Gubacsipuszta","27,9 millió Ft","45 m²","2","A VIRTUÁLIS SÉTA LINKJÉRE KATTINTVA !!! JÁRJA KÖRBE AZ INGATLANT 3D-BEN !AZONNAL KÖLTÖZHETO!!!!!SZUPER KIS LAKÁS!!! SZUPER HELYEN!!!! FELSZÍNI AUTÓ BEÁLLÓHELLYEL!Pesterzsébet csendes, családias, kertvárosi részén kínálok eladásra egy 45 m2-es belso kétszintes, 2 szobás lakást, terasszal, autóbeálló hellyel, közös kert használattal.Az ingatlanba lépve egy eloszobába érkezünk. Bal kézre található a kádas fürdoszoba wc-vel.Az eloszobából nyílik az amerikai konyhás-étkezo nappalival. A nappali teraszkapcsolattal rendelkezik. A nappaliból egy kényelmes lépcson juthatunk az emeletre, ahol egy szoba került kialakításra körbe beépített szekrénnyel.Szobái parkettával a többi helyiség járólappal burkolva. Ablakai muanyag nyílászárókra lettek cserélve redonnyel, szúnyoghálóval felszerelve. Futése házközponti. A meleg vizet villany bojler készíti.A nyári hoség elviselhetoségérol inverteres huto-futo klíma gondoskodik.Az ingatlan egy négy lakásos társasházban található. A jó lakóközösségnek köszönhetoen a házat folyamatosan karban tartják. Két éve a ház homlokzata teljesen megújult. 10 cm-es szigetelést és új színezést kapott.  Tetoszerkezete is megújult.A kellemes kikapcsolódáshoz, kerti grillpartikhoz a szépen gondozott, közös használatú kert is hozzájárul.Az ingatlanhoz tartozik egy saját, kizárólagos használatú gépkocsibeálló, amely a vételár részét képezi.Ajánlanám fiatal pároknak, de akár befektetésre is, hiszen elhelyezkedése miatt könnyen bérbe adható!Az ingatlan per és teher mentes! Azonnal költözheto!Közelben minden megtalálható ami a mindennapjainkhoz szükséges: iskola, óvoda, tömegközlekedés, bevásárlási lehetoségek.Amennyiben felkeltettem érdeklodését hívjon akár hétvégén is!Ügyfeleink részére kedvezményes hitel illetve ügyvédi segítséget is tudunk biztosítani!","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","házközponti","van","25 E Ft/hó","nem","egy helyiségben","kelet","kertre néz","4 m²","nincs megadva","udvari beálló - benne van az árban","nem tetotéri",NA,NA
"153","XIV. kerület, Bartl János utca","53,1 millió Ft","52 m²","2","KIZÁRÓLAG AZ OTP INGATLANPONT KÍNÁLATÁBAN! ZÖLD OTTHON PROGRAMNAK MEGFELELO, ÚJ ÉPÍTÉSU INGATLANOK ZUGLÓ LEGSZEBB RÉSZÉN! Budapest 14. kerületében, Zugló szívében korszeru építészeti megoldásokkal, több ütemben épülo PASKAL GARDEN lakóparkban kínálunk megvételre elegáns, élheto otthonokat. ------------------------------------------------- A beruházás tervezésekor kiemelt figyelmet kapott az épületek barátságos megjelenése, a korszeru, jól használható alaprajzok kialakítása, a világos életterek, és a megújított Rákos-patak csendes környezetével harmonizáló parkosított belso kert megvalósítása. A három épületbol álló elegáns lakópark otthonaiban a futési és hutési energiát környezetbarát levegos-hoszivattyú rendszer biztosítja, a holeadók a mennyezetbe épített, szabad szemmel nem látható huto-futo rendszerek, melyekkel a helyiségek homérséklete egyedileg szabályozható, akár intelligens/okos hálózat részeként. ---------------------------------------A lakóépületek a Rákos-patak közelében helyezkednek el, amelynek közvetlen környéke a beruházás keretein belül már megújult; a patak mellett parkosított zöldfelület épült, sétánnyal, padok és szökokút kialakításával. A zöld környezetet és a természet közelségét fokozza a földszinti lakások kertkapcsolata, illetve az emeleti lakásokhoz tartozó napfényes erkély vagy tágas terasz.Garázs és tároló vásárlása opcionális, az épületek alatti teremgarázsokban az összes lakás számára biztosít a beruházó parkolóhelyet, akár elektromos gépjármutöltovel.Mindegyik épületben megtalálható kisebb alapterületu, vagy akár több hálószobával rendelkezo ingatlan. A változatos méretu és alaprajzú lakástípusok között az elso lakást kereso fiatalok, a CSOK nyújtotta lehetoségeket kihasználni szándékozó családosok, vagy akár a befektetési céllal vásárlók is megtalálhatják álmaik otthonát. ---------------------------------------------------------------------- A C épület tervezett átadása 2023. március","új építésu","2022","összkomfortos","AA+","2","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés","van","nincs megadva","igen","nincs megadva","dél","kertre néz","7 m²","nincs megadva","teremgarázs hely","nem tetotéri",NA,NA
"154","XIV. kerület, Bartl János utca","112,8 millió Ft","116 m²","4","KIZÁRÓLAG AZ OTP INGATLANPONT KÍNÁLATÁBAN! ZÖLD OTTHON PROGRAMNAK MEGFELELO, HAMAROSAN KÖLTÖZHETO INGATLANOK! Budapest 14. kerületében, Zugló szívében korszeru építészeti megoldásokkal, több ütemben épülo PASKAL GARDEN lakóparkban kínálunk megvételre elegáns, élheto otthonokat. ------------A beruházás tervezésekor kiemelt figyelmet kapott az épületek barátságos megjelenése, a korszeru, jól használható alaprajzok kialakítása, a világos életterek, és a megújított Rákos-patak csendes környezetével harmonizáló parkosított belso kert megvalósítása. A három épületbol álló elegáns lakópark otthonaiban a futési és hutési energiát környezetbarát levegos-hoszivattyú rendszer biztosítja, a holeadók a mennyezetbe épített, szabad szemmel nem látható huto-futo rendszerek, melyekkel a helyiségek homérséklete egyedileg szabályozható, akár intelligens/okos hálózat részeként. -----------------------------A lakóépületek a Rákos-patak közelében helyezkednek el, amelynek közvetlen környéke a beruházás keretein belül már megújult; a patak mellett parkosított zöldfelület épült, sétánnyal, padok és szökokút kialakításával. A zöld környezetet és a természet közelségét fokozza a földszinti lakások kertkapcsolata, illetve az emeleti lakásokhoz tartozó napfényes erkély vagy tágas terasz, ahonnan akár a Rákos-patak nyugodt, megszépült környékének látványát is élvezhetjük. --------------Garázs és tároló vásárlása opcionális, az épületek alatti teremgarázsokban az összes lakás számára biztosít a beruházó parkolóhelyet, akár elektromos gépjármutöltovel. Mindegyik épületben megtalálható kisebb alapterületu, vagy akár több hálószobával rendelkezo ingatlan. A változatos méretu és alaprajzú lakástípusok között az elso lakást kereso fiatalok, a CSOK nyújtotta lehetoségeket kihasználni szándékozó családosok, vagy akár a befektetési céllal vásárlók is megtalálhatják álmaik otthonát.-------------- Az B épület tervezett átadása 2022. szeptember","új építésu","2021","összkomfortos","AA+","1","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés","van","nincs megadva","igen","nincs megadva","északnyugat","kertre néz","33 m²","nincs megadva","teremgarázs hely","nem tetotéri",NA,NA
"155","XIV. kerület, Bartl János utca","52,3 millió Ft","58 m²","2","KIZÁRÓLAG AZ OTP INGATLANPONT KÍNÁLATÁBAN! ZÖLD OTTHON PROGRAMNAK MEGFELELO, HAMAROSAN KÖLTÖZHETO INGATLANOK!Budapest 14. kerületében, Zugló szívében korszeru építészeti megoldásokkal, több ütemben épülo PASKAL GARDEN lakóparkban kínálunk megvételre elegáns, élheto otthonokat. A beruházás tervezésekor kiemelt figyelmet kapott az épületek barátságos megjelenése, a korszeru, jól használható alaprajzok kialakítása, a világos életterek, és a megújított Rákos-patak csendes környezetével harmonizáló parkosított belso kert megvalósítása. A három épületbol álló elegáns lakópark otthonaiban a futési és hutési energiát környezetbarát levegos-hoszivattyú rendszer biztosítja, a holeadók a mennyezetbe épített, szabad szemmel nem látható huto-futo rendszerek, melyekkel a helyiségek homérséklete egyedileg szabályozható, akár intelligens/okos hálózat részeként.A lakóépületek a Rákos-patak közelében helyezkednek el, amelynek közvetlen környéke a beruházás keretein belül már megújult; a patak mellett parkosított zöldfelület épült, sétánnyal, padok és szökokút kialakításával. A zöld környezetet és a természet közelségét fokozza a földszinti lakások kertkapcsolata, illetve az emeleti lakásokhoz tartozó napfényes erkély vagy tágas terasz.Garázs és tároló vásárlása opcionális, az épületek alatti teremgarázsokban az összes lakás számára biztosít a beruházó parkolóhelyet, akár elektromos gépjármutöltovel.Mindegyik épületben megtalálható kisebb alapterületu, vagy akár több hálószobával rendelkezo ingatlan. A változatos méretu és alaprajzú lakástípusok között az elso lakást kereso fiatalok, a CSOK nyújtotta lehetoségeket kihasználni szándékozó családosok, vagy akár a befektetési céllal vásárlók is megtalálhatják álmaik otthonát. Az A épület tervezett átadása  2022. I. negyedév.","új építésu","2021","összkomfortos","AA+","földszint","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés","van","nincs megadva","igen","nincs megadva","délnyugat","kertre néz","9 m²","nincs megadva","teremgarázs hely","nem tetotéri",NA,NA
"156","IX. kerület, József Attila-lakótelep","36 millió Ft","56 m²","3","Budapest IX. kerületének közkedvelt részén a József Attila lakótelepen, kiváló közlekedés mellett mégis csendes helyen kínálunk eladásra egy 56 nm-es 3 szobássá alakított jó állapotú lakást egy téglaépítésu társasház 4. emeletén.A lakás futése távhos, ablakai muanyag hang- és hoszigetelo ablakok. A tulajdoni lap szerint 2 szobás lakás egy ötletes átalakítással nappali + 2 különnyíló szobássá módosult. Fürdoszobája és konyhája is ablakos. A beépített gépesített konyhabútor a vételárészét képezi.A ház csendes, lakóközössége jó. Közös pincetároló tartozik a lakáshozA környék ellátottsága és a közlekedés kiváló. Parkolás a ház elott ingyenes.Amennyiben egy jó elosztású lakást keres, akár két gyermekét szeretné Budapesten biztonságban tudni, ahonnan könnyedén bejutnak az iskolába ne habozzon, kérjen idopontot megtekintésre.További kérdéssel és megtekintésért forduljon hozzám bizalommal a hét bármely napján. 36000000 FtReferencia szám: H439745","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","4","nincs megadva","nincs megadva","3 m-nél alacsonyabb","távfutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","kertre néz","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,NA
