"","address","price","area","noroom","description","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Építés éve","Panelprogram"
"30","XI. kerület, Gépész utca 34.","268,16 ezer €","93 m²","4","Futés- és villanyszámla nélkül!*In English language also available just below.Please, do not hesitate to contact me to visit the premises for prior appointment. Thx.Eladó egy bruttó 123, nettó 93 m2-es lakás/házrész Kelenvölgyben (BUdapest XI. Kerület ).Javarészt minden energiafelhasználás  napelemes rendszerrel lett kiváltva az AA minosítésu energatanúsítvánnyal, saját garázzsal és kocsibeállóval, továbbá két bejárattal ( utcai és kert feloli )rendelkezo, akár két külön lakássá is alakítható, duplakomfortos, belso kétszintes ingatlanban, ahol a hutés-futés klímarendszerrol muködik.A lakás percekre fekszik a minden igényt kielégíto infrastruktúrát felvonultató Kelenföldtol/Albertfalvától. Ráadásul a könnyen megközelítheto M4 metróval, villamossal, vagy akár vonattal, illetve az M1/M7 , M/6, valamint az M0-ás utakon tényleg bármerre elindulhatunk.A bevásárlási lehetoség, orvosi ellátás, óvodai-iskolai intézmény, posta karnyújtásnyira vannak a csúcs lokalizációjú, kellemes, családi házas, már-már vidékies környezetben.Minden érdeklodést szívesen fogadunk a megjelölt telefonszámon, vagy e-mail útján.A vételárban rugalmasan gondolkodunk.Tekintettel arra, hogy az értékesítéssel kizárólag a tulajdonos foglalkozik, ingatlanosok, kérem, NE jelentkezzenek!FORGET the heating/cooling and electricity bills!Great location. From the OWNER.In the XI. district of Budapest (Kelenvölgy), a two-story flat on 93m2 with a 20 m2 terrace and a little private garden and a garage for sale.The apartment has four rooms and two bathrooms, and has two entrances, so it can be separated to two individual parts.Almost every energy consumption is covered by solar system. The heating is operated by central heating and clima-equipments as well.From the property is easily reachable the most frequent part of Budapest for example by the metro line M4. The motorways M1 M6 M7 are also in a few minutes by car.Shopping centres and a little grocery, health facilities, pharmacy, post office, elementary school and kindergarten are also in the near.Every request are welcome on my mobile phone, or via e-mail.","jó állapotú","duplakomfortos","AA","nincs megadva","2","nincs megadva","3 m-nél alacsonyabb","megújuló energia, gáz (cirko)","van","nincs megadva","nem","egy helyiségben","nincs megadva","nincs megadva","20 m²","igen","nincs megadva","önálló garázs - benne van az árban",NA,"2001 és 2010 között",NA
"31","VI. kerület, Ó utca","94 millió Ft","104 m²","3","Saroklakás - mert egyszer újra nyit a Pesti Broadway!VI. kerületben lévo, dél-keleti fekvésu 3 szobás 108 nm-es, galériás, felújítandó, jól alakítható gázkonvektoros lakás, jó állapotú liftes házban eladó! Tulajdoni lapon 104 nm, valóságban 108 nm.A polgári épület 1894-ben épült. A méltán híres Pesti Broadway területén járunk, közel az Andrássy úthoz. A kerület ezen szakasza egy olyan negyeden vezet át, amely a XIX. század óta folyamatosan a budapesti szórakozás, az éjszakai élet és a kultúra egyik középpontja. A belvárosban itt, egyedülálló módon 50 méteren belül 5 színházat is találunk. A Nagymezo utca és mellékutcái a színházak mellett számos szórakozóhelynek, étteremnek adnak otthont, így a kötetlen szórakozást és kultúrát kedvelok hívei is megtalálják itt számításukat.Az ingatlan a karbantartott, jó állapotban lévo liftes társasház 3. emeletén helyezkedik el, tágas folyosóról nyílóan. A lakás csendes, a 3. emeletre már nem szurodik fel az utca forgalma. A kis elotérbol étkezo-közlekedobe jutunk, ahonnan balra a konyha nyílik, kamrával a végében. A közlekedobol tovább haladva egy folyosón fürdoszoba és külön nyíló wc található, a folyosó végén pedig a galériás szoba, mely az Ó utcára néz. Így egy teljesen intim teret kapunk, a többi szobától szeparáltan. A másik 2 szoba egymásból nyílik és a lakás központi részén helyezkednek el. Különleges adottságú ingatlan, mindhárom tágas szobája az utcára néz! A középso szoba ablakai – saroklakás lévén – az Ó utcára és a Nagymezo utcára is egyaránt nyílnak, a harmadik szobája pedig a Nagymezo utcára tekint ki.A lakás melegét gázkonvektor biztosítja, a melegvizet gázkazán szolgáltatja. Nyílászárói a polgári kor stílusának megfeleloen az eredetileg beépített, de karbantartott és szép állapotú fa nyílászárók. Szobái parkettások, a többi helyiség hidegburkolattal ellátott.A közös költség 29.900,- forint / hó, mely tartalmazza a korlátlan vízfogyasztást, a szemétszállítási díjat, az épület általános karbantartási költségeit és a felújítási alapot. A társasház rendezett anyagiakkal bír és összetartó lakóközösséget alkot.Közlekedés: 70-es és 78-as trolibusz, M1, 105-ös autóbusz, 4-6-os villamos.Jó szívvel ajánlom lakhatás célra belváros imádóknak, urbanista családoknak, és a kultúra rajongóinak – akár több generáció együtt költözése esetén! Befektetési célra is tökéletes, de a kiváló lokáció okán és a lakás remek belso adottságait kihasználva rendelonek, irodának, vagy egyéb üzleti célra is alkalmas.Adatbázisunkban további több ezer ingatlanból választhat, hívjon bizalommal, hogy megtaláljuk a legmegfelelobbet!Hitelre van szüksége? Teljes köru és díjmentes hitelügyintézéssel, biztosításkötéssel áll rendelkezésére szakérto kollégánk. Kérje személyre szabott ajánlatunkat!Ezúton tájékoztatjuk, hogy Ön mint érdeklodo, a hirdetésben megjelölt telefonszám felhívásával hozzájárul személyes adatai – így különösen neve és telefonszáma -, a hirdetést feladó Real Estate Solutions Kft. általi - biztonságos és körültekinto - kezeléséhez, nyilvántartásához. E körben, az alábbi linken megismerheti az adatkezelési tájékoztatót.We hereby inform you that You as an interested party, by calling the phone number mentioned in the advertisement, contribute to be your personal data – especially your name and phone number – handled and recorded safe and circumspectively by Real Estate Solutions Kft. as advertiser. Hereby, you can learn our Privacy immo1 pont hu per adatvedelem","felújítandó","összkomfortos","nincs megadva","3","3","van","3 m-nél magasabb","gáz (konvektor)","nincs","29 E Ft/hó","nem","külön helyiségben","délkelet","utcai","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület",NA,"1950 elott",NA
"32","VI. kerület, Szobi utca","94 millió Ft","99 m²","3","VI. ker.  Szobi utcában  ELADÓ, Nyugati tértol egy sarokra található , a harmadik emeleti, utcai nézetu, 99 nm-es, 3 szobás lakás , (2 fürdoszobával) ,melyet 2019-ben teljes köruen felújítottak. A  felújítás során ho-és hangszigetelt ablakok kerültek beépítésre, cserélték a viz, villany, és gázvezetéket ,és korszerusítették a futést.( gáz cirkó) A vételár tartalmazza a teljes berendezést, a beépített konyhabútort, a konyhagépekkel együtt.Megtekintéssel kapcsolatban keressen bizalommal.","felújított","nincs megadva","nincs megadva","3","4","van","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nem","külön helyiségben","délkelet","utcai","nincs megadva","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA,"1950 elott",NA
"33","IX. kerület, Belso-Ferencváros","94 millió Ft","98 m²","3","Budapesti Lakáskulcs ingatlan és hitel iroda eladásra kínálja az alábbi ingatlant. Budapest IX. kerületben, a Kálvin tér közelében, egy 5. emeleti, nyugati fekvésu, napos, teljesen felújított (víz és villany, futés, burkolatok, nyílászárók) barátságos mediterrán lakás eladó. Az ingatlan, 98 nm-es, 3 szobás, erkélyes. Felújítása során, beépített ruhásszekrény, ruhalifttel, és egy zárt üveges könyvespolc kapott helyet. Elhelyezkedésének köszönhetoen, közlekedése kiváló. Parkolási lehetoség a társasház belso udvarában. Hívjon és nézzük meg közösen! Irodánk ingyenes szolgáltatásai: - Banki hitelügyintézés vezeto partner bankjaink termékeivel - CSOK ügyintézés - Ingyenes felmérés, tanácsadás Kérem tekintse meg további hirdetéseimet is, várom hívását. Ádám Csaba az Ön ingatlan szakértoje.","felújított","duplakomfortos","nincs megadva","nincs megadva","5","van","nincs megadva","padlófutés","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","nincs megadva","2.5 m²","nem","nincs megadva","udvari beálló",NA,"nincs megadva",NA
"34","XIII. kerület, Cserhalom utca","94,16 millió Ft","92 m²","4","Város Otthon Vízpart - GrandeA XIII. kerületen belül kiemelt övezetnek számít a Duna melletti Vizafogó. Ezen a városrészen belül is akad egy igazi kedvenc: a Foka-öböl közvetlen környéke, ahol valóban egy rövid sétára helyezkedik el a folyó. Prémium épített környezet, nagy természetes terek, hajókiköto, esti séták a duna-parti sétányon, közös grillezés a tetoteraszon vagy vacsora a saját erkélyen.A helyszín - autóba pattanva - mindössze 10 percre fekszik a belvárostól, de a gépkocsi kifejezetten csábító alternatívája az M3-as metró vagy a fejlett kerékpárút-hálózat.Ebben a milioben épül a Duna Terasz Grande, mely a lakóit olyan szabadságérzéssel kényezteti, amely csak a vízparti területek sajátja.Az épületpárban megtalálható legkisebb lakás 30 m2-es, amely elso önálló otthonként nagyszeru választás. Választékos a kínálat a másfélszobás lakásokból. Gondoltunk a családokra is, a 2-4 szobás, tágas otthonok kínálatával, egészen 117 m2-ig.A legfelso szintre design penthouse lakásokat képzeltünk el helyenként rendhagyó, íves falakkal az igazán egyedi és extravagáns enteriort kedveloknek.A lakásokban korszeru felszereltség, okos otthon elokészítés és energiatakarékos hoszivattyús mennyezeti huto-futo rendszer nyújt ideális otthont azoknak, akik a környezetükre és jövojükre tudatosan tekintenek.A várható átadásunk: 2023. március","új építésu","összkomfortos","nincs megadva","5","9","van","nincs megadva","mennyezeti hutés-futés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","udvari","16.23 m²","nincs megadva","nincs megadva","nincs megadva",NA,"2023",NA
"35","IX. kerület, Vágóhíd utca 3.","94,2 millió Ft","81 m²","3","Jól átgondolt alaprajzok, könnyen bútorozható lakások. Az Allure Residence tervezésekor ügyeltünk rá, hogy minden lakás napfényes kialakítású legyen. A lakópark frekventált helyen, a Duna-parttól, a Muvészetek Palotájától és a Nemzeti Színháztól egy sarokra épül. A délnyugati tájolású lakások a Máriássy utca felé, míg a keleti tájolásúak a Nádasdy utca felé néznek. A VI. ütem lakásainak ablakaiból a 0-24 órás portaszolgálattal orzött, zárt és hangulatos belso kert látható. A lakás ára a konyhabútort, és a luxus burkolatot is tartalmazza.","új építésu","összkomfortos","A+","1","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","nincs megadva","51.15 m²","nem","nincs megadva","teremgarázs hely - megvásárolható",NA,"2020",NA
"36","III. kerület, Valéria utca","94,4 millió Ft","70 m²","3","Az építkezés befejezodött.  Lakásaink azonnal költözhetoek.Fagyöngy Lakópark Projekt Budapest, III. kerületében a Valéria utca - Róza köz – Körös utca – Papírgyár utca közötti 13.802 négyzetméteres, zöldövezeti, kertvárosi területen épült fel.A Fagyöngy Lakópark területén belül 10 épület kap helyet – ebbol 6db épület földszint + 2 szintes, 4 épület pedig földszint + 4 szintes. A lakópark Róza közi oldalán elhelyezkedo épületek alatt mélygarázs található.A lakópark épületei egymástól kellemes távolságra helyezkednek el, kello intimitást biztosítva a lakóknak. A Fagyöngy Lakóparkban a lakástulajdonosok egy kellemes, csendes, kertvárosias hangulatú parkosított zárt kerten belül vásárolnak ingatlant.Muszakilag a jelenlegi piacon legfejlettebb felszereltségu otthonokat kínálunk, ahol a korszeru, energiatakarékos muszaki kialakításnak köszönhetoen a havi rezsi költségek akár 60%-kal csökkenthetoek.A Fagyöngy Lakópark külso és belso terei egyaránt a természetességet, otthonosságot hordozzák magukban, természetközeli anyagok használatával, egyszeru, letisztult designnal.A Fagyöngy Lakóparkban a modern otthon szerves része az aktív kert, ahol ha zárt, parkosított kertben egy 400m2-es játszótér és a kültéri kondigépek várják, hogy a kis lakók és szüleik élettel töltsék meg a lakópark közel egy hektáros zöld parkját.Lakásainkat kulcsrakészen értékesítjük és azonnal költözhetoek.  A különleges vevoi igényeknek megfelelve a legexkluzívabb lakásaink szerkezetkész állapotban várják az érdeklodoket, melyeket ingyenes belsoépítészeti tanácsadást követoen, egyedi vevoigények szerint kulcsrakészen befejezve adunk át a tulajdonosnak.A KÖRNYÉKCsillaghegy vonzereje, hogy autóval néhány perc alatt rengeteg kikapcsolódási lehetoség elérheto.  A Fagyöngy Lakóparkból 5 perces sétára található a Csillaghegyi strand, uszoda- és wellness központ, néhány perces autótávra fekszik számos kirándulóhely az Óbudai hegyekbe, 7 perc autóval a Dunapart, 10 perc a Lupa- sziget, 20 perc Szentendre és mindössze 10 perc alatt elérheto az Árpád híd.ELONYÖK- korszeru anyaghasználat és design- magas minoségu kivitelezés- tágas, élheto teraszok- földszinti privát kertek- 5000 m2 aktív, parkosított kert- 400m2-es játszótér- kültéri kondigéppark- energiatakarékos gépészet- biztonsági szolgálat- folyamatos gondnoki szolgálat- tágas, elegáns lépcsoház- kedvezo hitellehetoség- CSOK ügyintézés","új építésu","összkomfortos","nincs megadva","1","3","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","kelet","kertre néz","16.8 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 600 000 Ft","2020",NA
"37","VI. kerület, Kmety György utca 2.","94,4 millió Ft","73 m²","2","Tulajdonostól eladó!VI. kerületben, a Kodály körönd mellett  csendes utcában, igényes (felújított)  társasházban nagy szoba + nappalis, étkezos, erkélyes (4nm) + nagy tetoteraszos(44nm), klimatizált penthouse lakás teljes bútorzattal eladó (73m2 lakótér+22m2 (44nm-es saját tulajdonú tetoterasz fele)). A ragyogó panorámás ingatlan a lakóház legfelso szintjén került kialakításra.A lakáshoz további 3, 44 m2-es bepolcozott tároló is tartozik. A  társasházban a meglévo szintre, új szerkezet építésével került a Penthouse lakás kialakításra. Az ingatlan kialakításának köszönhetoen a késobbiekben az új tulajdonos igény szerint, akár plusz szobat is ki tud alakítani, hiszen a tetoterasz beépítheto. A házban teljesen új, 4 személyes üveglift került beépítésre, ez biztosítja a könnyebb feljutást a lakásokhoz. Az udvaron kerékpár tárolásra is van lehetoség.A közös képviselo rendkívül precíz, a társasház komoly összegu megtakarítással rendelkezik.Közös költség: 13.000.-Ft.A környéken remek az infrastruktúra, kiváló a közlekedés. Számos kiszolgáló egység megtalálható a közelben.CSOK igénybeveheto!","újszeru","nincs megadva","nincs megadva","4","4","van","nincs megadva","gázkazán","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","panorámás","44 m²","igen","penthouse","nincs megadva",NA,"2011",NA
"38","XIV. kerület, Paskál utca","94,4 millió Ft","127 m²","3 + 2 fél","14. kerület kertvárosi negyedében, a Rákos-patak és a Paskál Gyógy- és Strandfürdo közelében, a Paskál utcában, 1995-ben épült, háromszintes 8 lakásos társasházban, magasföldszinti, igényes kivitelezésu és egyedi elrendezésu 131 m2 lakóteru (127 m2 + a terasz terület fele), 3+2 fél szobás lakás eladó.Az ingatlan tehermentesen, elso tulajdonostól eladó.A lakás beosztását a mellékelt alaprajz mutatja. A tulajdonosok a belso válaszfalakat egyedi elrendezés alapján úgy alakították ki, hogy minden négyzetméternek funkciója legyen.Ezek alapján a lakás a következo helységekbol áll: 22,6 m2 konyha egy légtéru étkezovel (a konyha egy térelválasztó üveg-tolóajtóval lett elválasztva a nappalitól), 14m2 nagy gyerekszoba, 10,8m2 kis gyerekszoba, 16,9m2 szüloi háló, 10,8 m2 vendégszoba, 24,2 m2 nappali, 9m2 fürdoszoba (a fürdoszoba szintén tágas, így egy dupla mosdó, jakuzzi, zuhanyfülke, WC is kialakításra került), 1,1m2 külön WC.Mindezeket kiszolgálja a 17,5 m2 közlekedo-eloszoba. A napfényben úszó nappaliból nyílik a 8m2 terasz, mely sütögetésre, napozásra ad lehetoséget és teljes kilátást nyújt az oldalkerítést szegélyezo tujasorra és a júniustól októberig virágzó kertrészre.A környék csendes, hangulatos.A lakáshoz tartozik a - szintén igényesen kialakított - lépcsoházból megközelítheto 32 m2 garázs. A garázshelyek 2-lakásonként szeparáltak 32-32 m2 területekre. A garázs ára nincs benne a lakás vételárában és kötelezoen megvásárolandó!A szobákban faparketta, a többi helyiségben kopadló burkolatok találhatóak. A beltéri ajtók azonos stílusban, faerezetu, egyedi design-t hordoznak. A futést és a meleg vizet cirkó kazán biztosítja. A kövezett helyiségekben padlófutés és lapradiátorok, a parkettás helységekben lapradiátorok szolgálják a futést. A lakásban az építéskor a klímarendszer beépítésre került, azonban a tulajdonosok nem aktiválták. Az árnyékolást alumínium redonyök biztosítják. A lakás biztonságáról biztonsági ajtó és riasztórendszer gondoskodik.A lakás közös költsége 20.500,-Ft/hó, amihez a lakóközösség döntése alapján havi 5.000,-Ft felújítási alapot képeznek. A gáz, villany, víz egyedi fogyasztás alapján fizetendo.A lakás tartozéka az egyedi tervezésu konyhabútor és az eloszobában a tükrös beépített szekrény. A tömegközlekedés a lakástól 3 percre található trolibusz szolgáltatja. A közelben óvoda, patika, CBA, zöldséges, cukrászda és lottózó található. A Paskál Gyógy- és Strandfürdo ill. a Rákos-patak partja 5 perc sétával elérheto.Ha igényes, tágas és békés lakásban szeretne élni, - valamint 20 percen belül 3 db bevásárlóközpontot is elérni - de mégis csendes környezetben, akkor ez az ingatlan jól szolgálná az Ön igényét. Alkalmas több generációs, több gyermekes élethelyzetben lévok számára is.Komoly ajánlat esetén az ár korlátozottan alkuképes.INGATLANKÖZVETÍTOK SEGÍTSÉGÉT KÖSZÖNETTEL NEM KÉRJÜK.","jó állapotú","duplakomfortos","nincs megadva","földszint","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","nem","külön és egyben is","délnyugat","kertre néz","8 m²","nincs megadva","nem tetotéri","önálló garázs - kötelezo megvenni","7 000 000 Ft","1981 és 2000 között",NA
"39","V. kerület, Lipótváros","94,5 millió Ft","88 m²","2","Lipótvárosban eladó egy nappali+2 hálós luxuslakás teljes berendezéssel .Liftes házban, második emeleten található a 2018-ban teljes köruen, luxus szinten felújított ingatlan. Minden hálószobához tartozik egy-egy fürdoszoba. A légkondicionált duplakomfortos 88 nm-es lakás (tulajdoni lapon 82 )  teljesen be van rendezve, a konyha gépesítve van. Mosógép-szárító, riasztó.  A lakást hosszú távra bérlik, akár bérlovel együtt is eladó !!!","felújított","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"40","V. kerület, Lipótváros","94,5 millió Ft","84 m²","4","Az ötödik kerület egyik legcsodálatosabb részén közel a Deák-tér, Bazilika szomszédságában a Hercegprímás utcában eladó egy 84 nm alapterületu (+ tároló helyiségek),második emeleti, nagypolgári lakás, amit jelenleg  rövid távú kiadásra használnak.A társasház liftes, folyamatosan karbantartott.A tágas és világos szobák déli tájolásúak. A lakás  kituno adottságokkal rendelkezik,a magas belmagasságnak köszönhetoen galériázható. A házban az Airbnb engedélyezett. Tudom ajánlani befektetoknek és magán személyeknek egyaránt! Várom hívását!","jó állapotú","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","udvari","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"41","V. kerület, Lipótváros","94,5 millió Ft","88 m²","2","Lipótvárosban eladó egy nappali+2 hálós luxuslakás teljes berendezéssel .Liftes házban, második emeleten található a 2018-ban teljes köruen, luxus szinten felújított ingatlan. Minden hálószobához tartozik egy-egy fürdoszoba. A légkondicionált duplakomfortos 88 nm-es lakás (tulajdoni lapon 82 )  teljesen be van rendezve, a konyha gépesítve van. Mosógép-szárító, riasztó.","felújított","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"42","XIII. kerület, Rokolya utca","94,5 millió Ft","85 m²","2 + 2 fél","Kérem, hogy ingatlanközvetítok NE KERESSENEK!!!Minoségi alapanyagokkal berendezett 4. emeleti lakás eladó elso tulajdonosától, berendezéssel és mélygarázs beállóval együtt. A lakásban riasztó, teljes légkondicionálás és minden ablakon roló van. Ismételten kérem, hogy ingatlanközvetítok NE KERESSENEK!!!","újszeru","duplakomfortos","AA+","4","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","45 E Ft/hó","nem","külön helyiségben","északnyugat","udvari","29 m²","nem","legfelso emelet, nem tetotéri","teremgarázs hely - benne van az árban",NA,"2017",NA
"43","III. kerület, Óbuda - Kísérleti lakótelep","94,5 millió Ft","105 m²","5","Budapest, III. kerületben a Bécsi utcában, hegyre nézo panorámával belso kétszintes társasházi lakás eladó.A ház 1994-ben épült, elso tulajdonostól vásárolható meg. A lakás alsó szintjén kialakításra került egy tágas nappali, konyha -étkezo, kamra, WC-kézmosóval és egy dolgozószoba. A dolgozószoba átalakítható fürdoszobává, az összes kiállás megtalálható. (az eredeti alaprajzon is fürdoszobaként  szerepelt) , valamint egy francia erkélyes hálószoba. A tetotérben egy háló szoba, valamint két gyerek szoba lett kialakítva, valamint egy fürdoszoba WC-vel. Az egész lakás napos, világos, otthonos.Összeköltözoknek is ajánlom, hiszen a két szint külön bejárattal is rendelkezik! Megközelítése tömegközlekedéssel is egyszeru, bevásárlási lehetoség, orvosi ellátás, iskola óvoda néhány perces távolságban elérheto..Amennyiben az ingatlan felkeltette érdeklodését vagy bármilyen kérdése van, keressen bizalommal!Németh Beáta ingatlanszakérto, értékbecslo-------------A FINANSZÍROZÁSBAN SEGÍTÜNK:- BANKFÜGGETLEN HITELCENTERünk díjmentesen versenyezteti minden bank és hitelintézet ajánlatát.- Valamennyi bank KIEMELT ügyfeleként a legjobb hitelajánlatokat hozzuk el Önnek.- Nincs más dolga, mint beszélgetni munkatársunkkal, majd a megversenyeztetett ajánlatokból kiválasztani a hosszútávon is a legmegfelelobb konstrukciót.- Szakértoink 20 éves szakmai tapasztalattal és egyedi igényekre szabott, fogyasztóbarát lakáshitelekkel, BABAVÁRÓ hitellel, teljes köru CSOK ügyintézéssel várják.- Elore egyeztetve akár a normál munkaido után is.-------------A TELJES ADÁSVÉTELI FOLYAMATBAN SEGÍTÜNK!A terület ingatlanszakértojeként segíteni tudok Önnek, hogy a leheto leggyorsabban, a legmagasabbb áron érékesítse ingatlanát.- Piacvezeto cégként több, mint ezer kisebb ingatlanközvetíto céggel kooperálva a LEGSZÉLESEBB VEVOI ELÉRÉSt biztosítjuk.- SZURT VEVOI ADATBÁZISsal rendelkezünk, akik nem feltétlenül nézik az ingatlan.com-ot.- Valós eladási árakat figyelembe véve reális ÉRTÉKBECSLÉSt végzünk, összehasonlító piaci elemzést készítünk.- Lekérjük a TULAJDONI LAPot, minden szükséges okiratot ismertetünk.- Professzionális FOTÓkat, VIDEÓt, ALAPRAJZot készítünk.- Valamennyi hirdetési platformon KIEMELT HIRDETÉSEKet helyezünk el.- Igény szerint beszerezzük az ENERGETIKAI TANÚSÍTVÁNYt.- PÁRHUZAMOSAN segítünk ÚJ, megfelelo ingatlant TALÁLNI.- Banksemleges, komplex HITELügyintézéssel, ÜGYVÉDi részvétellel is segítünk.- Az adásvétel minden mozzanatát végig kísérve Ön BIZTONSÁGban lesz az ingatlanbemutatótól kezdve, a szerzodéskötésen át, egészen a kulcsátadásig!","jó állapotú","komfortos","nincs megadva","4","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","utcai","2 m²","nincs megadva","nem tetotéri","nincs megadva",NA,"1981 és 2000 között",NA
"44","V. kerület, Lipótváros","94,5 millió Ft","88 m²","2","Lipótvárosban eladó egy nappali+2 hálós luxuslakás teljes berendezéssel .Liftes házban, második emeleten található a 2018-ban teljes köruen, luxus szinten felújított ingatlan. Minden hálószobához tartozik egy-egy fürdoszoba. A légkondicionált duplakomfortos 88 nm-es lakás (tulajdoni lapon 82 )  teljesen be van rendezve, a konyha gépesítve van. Mosógép-szárító, riasztó.  A lakást hosszú távra bérlik, akár bérlovel együtt is eladó !!!","felújított","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"45","V. kerület, Hercegprímás utca","94,5 millió Ft","84 m²","3 + 1 fél","V. Kerület, Hercegprímás utca, 84 m²-es, 2. emeleti, társas házi lakásAz ötödik kerület egyik legcsodálatosabb részén közel a Deák-tér, Bazilika szomszédságában a Hercegprímás utcában eladó egy 84 nm alapterületu (+ tároló helyiségek),második emeleti, nagypolgári lakás, amit jelenleg rövid távú kiadásra használnak.A társasház liftes, folyamatosan karbantartott.A tágas és világos szobák déli tájolásúak.A lakás kituno adottságokkal rendelkezik,a magas belmagasságnak köszönhetoen galériázható. A házban az Airbnb engedélyezett. Tudom ajánlani befektetoknek és magán személyeknek egyaránt!Várom hívását!","jó állapotú","összkomfortos","nincs megadva","2","5","van","3 m-nél magasabb","nincs megadva","nincs megadva","40 E Ft/hó","nem","külön helyiségben","dél","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"1950 elott",NA
"46","II. kerület, Frankel Leó út","94,5 millió Ft","126 m²","3 + 1 fél","HATALMAS TEREK, JÓ LEHETOSÉG!A Komjádi uszoda közelében kínáljuk ezt a 126 nm-es, elso emeleti, erkélyes lakást!Alakítsa saját ízlésének, igényének megfeleloen!Egyedi, cirkó futés, nagy belmagasság, erkély. Kiváló közlekedés!","közepes állapotú","nincs megadva","nincs megadva","1","nincs megadva","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","7 m²","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"47","IX. kerület, Soroksári út","94,55 millió Ft","105 m²","4","Kiváló adottságú, 4 szobás, erkélyes lakás!IX. kerületben kínálunk eladásra egy kiváló adottságú, felújítandó lakást.Az ingatlan egy rendezett, társasház 1. emeletén helyezkedik el.A déli tájolású lakás a tulajdoni lap szerint 105.9 négyzetméterében, négy szoba, konyha, kamra, tágas közlekedo, fürdoszoba, valamint egy külön mellékhelyiség kapott helyet.  Az ingatlan teljes köru felújítást igényel. Két bejárattal rendelkezik, könnyen leválasztható.A lakás futése gázkonvektor és cserépkályhába épített gáz Héra és fa tüzelésu cserépkályha.Parkolni a közelben lehet, bevásárlási lehetoség tömegközlekedés, óvoda, iskola, játszótér pár perc sétára található.Ha az ingatlan felkeltette érdeklodését, várom megkeresését az elérhetoségeimen.Referencia szám: LK068897","közepes állapotú","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
