"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára"
"76","VI. kerület, Izabella utca","78 millió Ft","120 m²","3","A VI. kerület frekventált részén, ANDRÁSSY ÚTtól 20 méterre, az Izabella utcában eladó egy 2. emeleti, 120 nm-es, KÉT BEJÁRATTAL rendelkezo lakás.Jelenleg egy lakásként funkcionál, de egy ajtó megszüntetésével két lakássá alakítható (80 nm+ 40 nm), külön fürdoszobával, konyhával, hálóval. Kiadás, befektetés szempontjából is KITUNO LEHETOSÉG!A nappali és a mellette lévo háló utcai fekvésu, DNy-i tájolású, tágas fürdoszobával és konyha-étkezovel. A külön bejáratú lakás akár önállóan is használható,jelenleg egy tágas szoba fürdovel és alkóvval, a ház belso, csendes udvara felé néz.Az egész lakás VILÁGOS, benapozott.A lakás gépészetileg is FELÚJÍTOTT, a futés cirkó rendszeru.Elhelyezkedése kiváló, Oktogon, Városliget néhány perc sétával elérheto. Itt jár többek között a kis földalatti, az 5-ös busz, a 73-as és a 76-os troli, a Körúton pedig a 4-6-os villamos.Megtekintéssel kapcsolatban hívjon bizalommal!","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"77","VIII. kerület, József körút","78 millió Ft","114 m²","3","Érdeklodése esetén hívja a 2. telefonszámot.PALOTANEGYEDBEN, A JÓZSEF KÖRÚTON NAGYPOLGÁRI LAKÁS ELADÓ!VIII. kerületben, József körúton, a Palotanegyedben, nem messze a Blaha Lujza tértol,  eladó egy 2. emeleti, 3 szobás, erkélyes, tágas terekkel rendelkezo, világos, jó elosztású, 114 nm-es nagypolgári lakás.A két nagyszobája épített galériával ellátott és a József körútra néznek, a harmadik szoba és a konyha a belso és csendes udvarra néz.Fürdoszobája az eloszobából és a belso szobából egyaránt megközelítheto és külön illemhelyiséggel is rendelkezik.A lakásban kialakítottak egy orvosi rendelot is, ami igény szerint tovább üzemeltetheto vagy a kiváló lokáció miatt, akár kiadható, mivel tökéletesen szeparálva lett a lakás többi helyiségeitol. Itt légkondicionáló került kiépítésre.Méretének és adottságainak köszönhetoen, két külön bejáratú lakás kialakítására alkalmas.Közös költsége 28 000 forint, minden fogyasztás egyedi mérok alapján történik.A ház impozáns, szép külso és belso homlokzatú, világos belso udvara kifejezetten csendes, rendezett lépcsoházzal és hívólifttel rendelkezik. Kiváló elhelyezkedés és közlekedés, belvárosi környezetben. A közelben számos kávézó, étterem és bár nyújt kellemes kikapcsolódási lehetoséget. A környéken több egyetem is megtalálható.","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","2","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","külön és egyben is","kelet","utcai","3 m²","nem","nem tetotéri","utca, közterület - fizetos övezet",NA
"78","XIII. kerület, Újlipótváros","78 millió Ft","90 m²","3","Eladásra kínálok XIII ker. Újlipótváros F E L K A UTCÁBAN egy 90 nm-es 3 szobás összkomfortos, konvektor futéses, kertre nézo, felújítandó lakást, egy 5 szintes liftes ház 1. emeletén.A lakás nyílászáróinak nagy része cserélve lett, így egy esetleges felújítás során erre már nem lesz gond. Tágas terek, ablakos, könnyen szelloztetheto konyha, világos szobák jellemzik a lakást, így igen nagy potenciál van benne egy esetleges felújítás során is.A közlekedés nagyon jó a környéken pár perc séta a 4-6-os villamos, és az M3 metró. rengeteg üzlet, szolgáltatás megtalálható a környéken.Eladási ára 78M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva",NA,"összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","kertre néz","nincs megadva","nem","nem tetotéri","nincs megadva",NA
"79","VI. kerület, Vörösmarty utca","78 millió Ft","89 m²","3","Eladó VI. kerület Vörösmarty utcában található kiváló ingatlan. Az ingatlan 89m2+19,6m2 galéria (11m2 +8,6m2), ezen kívül van még egy hátsó zárt udvarrész, mely 16,44 m2. Az ingatlan 2 galériás hálószoba, eloszoba,  konyha és étkezo, külön álló WC és fürdoszoba rendelkezik. 2017-ben teljes köruen felújítva lett. Felújítás során a villany és vízvezetékek ki vannak cserélve. Futés a saját cirkóval gondolkodik. Felújitás során biztonsági autó került beszerelésre.Lokalizáció: VI. kerület rendorkapitányság közelben található, 4-6 villamos 2 perc séta, Westend City pláza 5 perc séta. Kedves szomszédok, a ház belso udvar 2 éven belül fel lesz újítva. Kiváló lokalizáció, akár befektetésre.","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs","21 E Ft/hó","nem","külön helyiségben","délnyugat","udvari","nincs megadva","nem","nincs megadva","utca, közterület - fizetos övezet",NA
"80","V. kerület, Belváros","78 millió Ft","82 m²","2 + 1 fél","Eladóvá vált az 5. kerület belvárosi részen egy 82nm-es gyönyöru belso udvarra nézo lakás.A muemlékek épület - Vajda Lajos festo élt itt - belso homlokzatát 5 éve újították fel. A külso homlokzat tatarozását 2020-ban kezdték el és ebben az évben fejezik be. A konyhát pár éve újítottak fel, ahol beépített gépek vannak és egy 2nm-es kamra is. Egy nagyobb zuhany kabin és a második fürdoszobában nagy méretu kád van. Mellékhelyiség külön a fürdoszobától.  2010-ben az elektromos vezetékek fel lettek újítva, 2015-ben a futést és vízmelegítot is kicserélték. Hajdu bojler és Aristan kazán van a lakásban. A magas belmagasságnak és a nagy méretu ablakoknak köszönhetoen a lakás világos. Fürdoszobán és konyhában is vannak jó méretu nyílászárók. A lakás nagyon csendes mivel a belso udvarra néz, ahol egy dísz szökokút van. Lokáció: Astoria metró megálló 2 perc sétára található, Károlyi kert, Pesti Alsó rakpart, Egyetem tér mind séta távolságra. A házban rövid távú kiadás megengedett.A lakás elozetes egyeztetés esetén bármikor megtekintheto, esténként vagy akár hétvégén is hívhat idopont egyeztetés céljából. -------------83sqm apartment for sale in the 5th district, downtown. Astoria metro stop is 2 minute walk away, Károlyi Garden, Riverside on Pest Side, Egyetem Square are all within walking distance.The inner facade of this listed building - painter Lajos Vajda lived here - was renovated 5 years ago. The renovation works of the facade facing the street began in 2020, which will be completed this year. The fully equipped kitchen was renovated a couple of years ago with its 2sqm pantry. There is a larger built-in shower cabin and in the second bathroom has a large bathtub. Restroom is separated from bathrooms. In 2010, all electrical wirings were also renovated, and in 2015 Aristan furnace and Hajdu boyler were also replaced. Thanks to the high ceilings and large windows, the apartment is bright. There are also decent size windows in the bathroom and kitchen. The apartment is very quiet as it overlooks the inner courtyard where there is an ornate fountain. Short-term rentals are allowed in the building.The apartment can be viewed at any time by prior arrangement, feel free to call in the evenings or even on weekends to make an appointment.","jó állapotú","1950 elott","duplakomfortos","BB","2","5","van","3 m-nél magasabb","gáz (cirko), gázkazán","nincs","nincs megadva","nem","külön helyiségben","kelet","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA
"81","V. kerület, Belváros","218 ezer €","82 m²","2 + 1 fél","Eladóvá vált az 5. kerület belvárosi részen egy 82nm-es gyönyöru belso udvarra nézo lakás.A muemlékek épület - Vajda Lajos festo élt itt - belso homlokzatát 5 éve újították fel. A külso homlokzat tatarozását 2020-ban kezdték el és ebben az évben fejezik be. A konyhát pár éve újítottak fel, ahol beépített gépek vannak és egy 2nm-es kamra is. Egy nagyobb zuhany kabin és a második fürdoszobában nagy méretu kád van. Mellékhelyiség külön a fürdoszobától.  2010-ben az elektromos vezetékek fel lettek újítva, 2015-ben a futést és vízmelegítot is kicserélték. Hajdu bojler és Aristan kazán van a lakásban. A magas belmagasságnak és a nagy méretu ablakoknak köszönhetoen a lakás világos. Fürdoszobán és konyhában is vannak jó méretu nyílászárók. A lakás nagyon csendes mivel a belso udvarra néz, ahol egy dísz szökokút van. Lokáció: Astoria metró megálló 2 perc sétára található, Károlyi kert, Pesti Alsó rakpart, Egyetem tér mind séta távolságra. A házban rövid távú kiadás megengedett.A lakás elozetes egyeztetés esetén bármikor megtekintheto, esténként vagy akár hétvégén is hívhat idopont egyeztetés céljából. -------------83sqm apartment for sale in the 5th district, downtown. Astoria metro stop is 2 minute walk away, Károlyi Garden, Riverside on Pest Side, Egyetem Square are all within walking distance.The inner facade of this listed building - painter Lajos Vajda lived here - was renovated 5 years ago. The renovation works of the facade facing the street began in 2020, which will be completed this year. The fully equipped kitchen was renovated a couple of years ago with its 2sqm pantry. There is a larger built-in shower cabin and in the second bathroom has a large bathtub. Restroom is separated from bathrooms. In 2010, all electrical wirings were also renovated, and in 2015 Aristan furnace and Hajdu boyler were also replaced. Thanks to the high ceilings and large windows, the apartment is bright. There are also decent size windows in the bathroom and kitchen. The apartment is very quiet as it overlooks the inner courtyard where there is an ornate fountain. Short-term rentals are allowed in the building.The apartment can be viewed at any time by prior arrangement, feel free to call in the evenings or even on weekends to make an appointment.","jó állapotú","1950 elott","duplakomfortos","BB","2","5","van","3 m-nél magasabb","gáz (cirko), gázkazán","nincs","nincs megadva","nem","külön helyiségben","kelet","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA
"82","XIII. kerület, Újlipótváros","78 millió Ft","90 m²","3","Újlipótváros szívében, a Felka utcában, rendezett társasház 1. emeletén, 90 nm-es lakás eladó.A háznak van egy kis közös, parkosított, csendes, zárt kertje, hintával és mászókával. A lakás ablakai közül a konyha és az egyik szoba erre az udvarra néz. A másik 2 szoba utcai fekvésu, ami egyáltalán nem zavaró, mert a környék egyik legcsendesebb utcája. 90 nm-en a bejáratnál a hallból nyílik szinte minden helyiség: 3 szoba közül 2 is, a 10 nm-es világos konyha, 2 kamra, fürdo, amibol a 3. szoba külön-bejáratúan megközelítheto, és egy külön WC. A jelenlegi elrendezés is praktikus, de átalakítással akár amerikai konyhás nappali + 3 szoba is kihozható belole. Mivel teljes köruen felújítandó – kivéve az ablakokat, mert azok pár éve lettek muanyagra cserélve- ráadásul kevés fofal van, így csak a fantázia szabhat határt.Referencia szám: LK099846","felújítandó","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"83","VII. kerület, Rákóczi út","78 millió Ft","97 m²","3 + 1 fél","A Rákóczi út Blaha Lujza térhez közeli kisforgalmú mellékutcájára nézo,  háromszobás,tágas, szép világos, felújítandó lakást kínálunkgyors költözési lehetoséggel,tehermentesen !A 3 nagyméretu utcai nézetu szoba mellett egy kicsi, különbejáratú szoba ( kb. 4m2) is van, ennek és a 13m2 feletti, világos konyhának az ablaka a ház benapozott udvara felé nyílik. A kisszoba a mellette levo kamrával összenyitható, dolgozó-, gyerek-, gardrob-  vagy hálószobának így már megfelelo méretu lehet !A lakás jelenlegi formájában is elonyös elosztású,a szobák közül 2 külön bejáratú, de a harmadik szoba külön bejárata is megoldható kisebb átalakítással. Az eloszobából az egyik oldalon az udvar felé nézo kis szoba után egy kamrahelyiség, egy külön WC ésegy fürdoszoba nyílik, mindketto természetes szellozéssel a lichthof felé. Az utcai szobák kifejezetten nagyméretuek,közel 6 méter hosszúságúak, utcai frontjuk pedig kb. 2,5m,  4.5 méter. és 2,3 méter. A középso szoba igény szerint a 2 nagy ablak kihasználásával kettéoszthatóés a 3,55 m belmagasság révén mindegyik galériázható.Az eloszoba másik oldalán nyílik a szintén ablakos, kifejezetten nagyméretu konyha,ez eloszoba végén pedig a szobák. A lakás akár- a konyhai ablak ajtóvá alakításával- vagy a kb. 16m2-es eloszoba megosztásával iskettéosztható két lakásra (2,5 szobás és egyszobás) vagylakás + iroda funkcióra vagy bérbeadásra két teljesértéku ingatlannak,mivel víz- és csatornavezeték mindkét oldalon kiépített.A mellékutcai nézet miatta szobák csendesek, szép világosak, tágasak,a lakás azonban a másik, udvari oldalról is átszelloztetheto,mindig vannak napos, melegebb és huvösebb helyiségek.A társasház nem liftes, karbantartott, folyamatosak a felújítások.Pinceszinti tárolási lehetoség is van,a ház udvarában pedig felszíni gépkocsiparkoló bérlésére - elojegyzéssel - lehetoség van. A lakás zárószinti, felette nem használt padlástér van,ez a késobbiek folyamán - amennyiben az új tulajdonos az ügyintézésre és a tulajdonostársak hozzájárulásának megszerzésére idot, a vásárlásra pedig külön összegetszán, akkor belso kétszintes, értékes és korszeru, hatalmas belvárosi ingatlan tulajdonosa lehet !Az infrastruktura ideális,közintézmények, üzletek, szolgáltatóhelyek a közvetlen közelben elérhetoek,a közlekedési lehetoségek pedig - úgy, hogy a lakás ablakai alatt NINCS tömegközlekedés !!! - változatosabbak nem is lehetnének:- M2, M4 metró a közeli Blaha Lujza vagy II. János Pál pápa téren- nappali és éjszakai buszjáratok sokasága a Rákóczi úton- villamosjáratok pedig az Erzsébet körúton érhetoek elnéhány perces sétával. Így a Belváros, a Margit-sziget, a Budai hegyvidék, Budapest bármely pontja direkt járattal közelítheto meg. A lakás idopont elozetes egyeztetésével a hét bármely napján megtekintheto !Érdeklodéséta megadott elérhetoségeken kérem és vároma hét bármely napjánnapközben és az esti órákban is.SMS-ben küldött ""NAGY RÁKÓCZI"" üzenet alapján gyorsan felhívom.","felújítandó","1950 elott","komfortos","nincs megadva","3","4","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"84","XIII. kerület, Felka utca","78 millió Ft","90 m²","3","Újlipótváros szívében, a Felka utcában, rendezett társasház 1. emeletén, 90 nm-es lakás eladó.A háznak van egy kis közös, parkosított, csendes, zárt kertje, hintával és mászókával. A lakás ablakai közül a konyha és az egyik szoba erre az udvarra néz. A másik 2 szoba utcai fekvésu, ami egyáltalán nem zavaró, mert a környék egyik legcsendesebb utcája. 90 nm-en a bejáratnál a hallból nyílik szinte minden helyiség: 3 szoba közül 2 is, a 10 nm-es világos konyha, 2 kamra, fürdo, amibol a 3. szoba külön-bejáratúan megközelítheto, és egy külön WC. A jelenlegi elrendezés is praktikus, de átalakítással akár amerikai konyhás nappali + 3 szoba is kihozható belole. Mivel teljes köruen felújítandó – kivéve az ablakokat, mert azok pár éve lettek muanyagra cserélve- ráadásul kevés fofal van, így csak a fantázia szabhat határt.Referencia szám: LK099846","felújítandó","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"85","VI. kerület, Izabella utca","78 millió Ft","120 m²","3","A VI. kerület frekventált részén, ANDRÁSSY ÚTtól 20 méterre, az Izabella utcában eladó egy 2. emeleti, 120 nm-es, KÉT BEJÁRATTAL rendelkezo lakás.Jelenleg egy lakásként funkcionál, de egy ajtó megszüntetésével két lakássá alakítható (80 nm+ 40 nm), külön fürdoszobával, konyhával, hálóval. Kiadás, befektetés szempontjából is KITUNO LEHETOSÉG!A nappali és a mellette lévo háló utcai fekvésu, DNy-i tájolású, tágas fürdoszobával és konyha-étkezovel. A külön bejáratú lakás akár önállóan is használható,jelenleg egy tágas szoba fürdovel és alkóvval, a ház belso, csendes udvara felé néz.Az egész lakás VILÁGOS, benapozott.A lakás gépészetileg is FELÚJÍTOTT, a futés cirkó rendszeru.Elhelyezkedése kiváló, Oktogon, Városliget néhány perc sétával elérheto. Itt jár többek között a kis földalatti, az 5-ös busz, a 73-as és a 76-os troli, a Körúton pedig a 4-6-os villamos.Megtekintéssel kapcsolatban hívjon bizalommal!","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"86","XIII. kerület, Zsinór utca","78 millió Ft","67 m²","3","XIII. kerületben, Angyalföldön 67 nm-es, nagy teraszos lakás eladó! Azonnal költözheto!Környék:- frekventált helyen, jó közlekedési adottságokkal- tömegközlekedés szempontjából kiváló helyen van, buszmegálló 3-6 perc, villamosmegálló 8 perc gyalogosan- fantasztikus infrastruktúra, minden megtalálható a környéken, amire a hétköznapokban szükség van, bevásárlási lehetoségek (2-10 perc), szolgáltatások, bank (3 perc), gyógyszertár (2 perc)Épület:- 2021-ben épült- téglaépület- zárt lépcsoház- kiváló állapot- 5 emeletes- lift- zárt, belso udvarral rendelkezik- kamerarendszer muködik az épületbenLakás: - 1. emeleti- 67 nm-es alapterület- 14 nm-es terasz- 277 cm-es belmagasság- tágas, fényárban úszó terek- gardrób bútorral beépített eloszoba és közlekedo- tágas, világos nappali- amerikai konyha (beépített és gépesített Bosch 7 Series)- kamra- 2 hálószoba- zuhanyzós fürdoszoba- toalett és kézmosó- redonnyel felszerelt muanyag nyílászárók- riasztó- klíma- házközponti, egyedi méros futés- tároló (4nm)- 1 db teremgarázs beállóhely- közös költség: 26.000 FtOlyan fiatal pároknak, gyermekes családoknak ajánlom, akik számára fontos a belváros könnyu megközelíthetosége, jól frekventált helyen szeretnének élni! Befektetésnek is kiváló!Amennyiben a hirdetés felkeltette érdeklodését, további kérdése merült fel, keressen bizalommal, készséggel állok rendelkezésére akár hétvégén is!Hitelre van szüksége vásárláshoz, felújításhoz, de nem tud kiigazodni a bankok ajánlatai között? Amennyiben szakértore van szüksége, bank-semleges hitelszakértonk szívesen segít Önnek sokéves tapasztalatával, akkor is, ha nem nálunk vásárolja meg ingatlanát.","nincs megadva",NA,"nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","udvari","14 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"87","VI. kerület, Külso-Terézváros","78 millió Ft","120 m²","3","A VI. kerület frekventált részén, ANDRÁSSY ÚTtól 20 méterre, az Izabella utcában eladó egy 2. emeleti, 120 nm-es, KÉT BEJÁRATTAL rendelkezo lakás.Jelenleg egy lakásként funkcionál, de egy ajtó megszüntetésével két lakássá alakítható (80 nm+ 40 nm), külön fürdoszobával, konyhával, hálóval. Kiadás, befektetés szempontjából is KITUNO LEHETOSÉG!A nappali és a mellette lévo háló utcai fekvésu, DNy-i tájolású, tágas fürdoszobával és konyha-étkezovel. A külön bejáratú lakás akár önállóan is használható,jelenleg egy tágas szoba fürdovel és alkóvval, a ház belso, csendes udvara felé néz.Az egész lakás VILÁGOS, benapozott.A lakás gépészetileg is FELÚJÍTOTT, a futés cirkó rendszeru.Elhelyezkedése kiváló, Oktogon, Városliget néhány perc sétával elérheto. Itt jár többek között a kis földalatti, az 5-ös busz, a 73-as és a 76-os troli, a Körúton pedig a 4-6-os villamos.Megtekintéssel kapcsolatban hívjon bizalommal!","nincs megadva",NA,"nincs megadva","nincs megadva","2","nincs megadva","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"88","XIII. kerület, Újlipótváros","78 millió Ft","90 m²","3","Újlipótváros frekventált részén, a Felka utcában eladó egy csendes, 1. emeleti, 90 m2 hasznos alapterületu nagypolgári lakás. Kiváló az elrendezése, a konyha és az egyik szoba a belso kertre néz, két szoba pedig utcai fekvésu, a fürdoszoba két bejárattal rendelkezik, a WC külön helyiségben van. További elony, hogy a lakásnak két huvös tárolója van, és a hallból nyílik az összes helyiség. Az ablakokat lecserélték, a burkolatok felújítandók. Jelenleg 3 szobás, de könnyedén 4 szobássá alakítható. Futése gázkonvektoros.A társasház jól muködik, a lakók csendesek, a ház karbantartott, esztétikai és muszaki szempontból is jó állapotban van. A közös költség 25.000 Ft. A lakás üres, az azonnali birtokbaadás is megvalósítható. Ideális lehet családoknak, vagy befektetésnek, de akár rendelonek vagy irodának is.Kérdés vagy megtekintés esetén keressen bizalommal!M197758","felújítandó","1950 elott","összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA
"89","III. kerület, Harsánylejto","78 millió Ft","68 m²","3","Harsánylejton Budapest 3.kerületében zöldövezeti kertkapcsolatos földszinti lakás és egy emeleti teraszos lakás négy lakásos társasházban eladó!A társasház téglából épült , 14 cm külso szigetelést kapott, A földszinti lakás 68 nm ehhez tartozik egy 11nm terasz valamint egy saját használatú 350nm telek rész.A lakásban egy amerikai konyhás nappali, valamint két tágas szoba, fürdoszoba és közlekedo lett kialakítva. Igény szerint az akadály mentesítés megoldható. A kertbe egy autónak autó beállót alakítanak ki a tulajdonosok.A futés -hutés fan coil , hoszivattyús rendszerrel megoldott.A belso szaniterek hideg-meleg burkolatokat választani lehet.Birtokba adás adás-vételtol számított max. 2 hónap.","újszeru","2021","nincs megadva","BB","nincs megadva","nincs megadva","nincs megadva","nincs megadva","fan-coil","van","nincs megadva","nincs megadva","egy helyiségben","délkelet","kertre néz","11 m²","igen","nincs megadva","udvari beálló - benne van az árban",NA
"90","VI. kerület, Izabella utca","78 millió Ft","120 m²","3","A VI. kerület frekventált részén, ANDRÁSSY ÚTtól 20 méterre, az Izabella utcában eladó egy 2. emeleti, 120 nm-es, KÉT BEJÁRATTAL rendelkezo lakás.Jelenleg egy lakásként funkcionál, de egy ajtó megszüntetésével két lakássá alakítható (80 nm+ 40 nm), külön fürdoszobával, konyhával, hálóval. Kiadás, befektetés szempontjából is KITUNO LEHETOSÉG!A nappali és a mellette lévo háló utcai fekvésu, DNy-i tájolású, tágas fürdoszobával és konyha-étkezovel. A külön bejáratú lakás akár önállóan is használható,jelenleg egy tágas szoba fürdovel és alkóvval, a ház belso, csendes udvara felé néz.Az egész lakás VILÁGOS, benapozott.A lakás gépészetileg is FELÚJÍTOTT, a futés cirkó rendszeru.Elhelyezkedése kiváló, Oktogon, Városliget néhány perc sétával elérheto. Itt jár többek között a kis földalatti, az 5-ös busz, a 73-as és a 76-os troli, a Körúton pedig a 4-6-os villamos.Megtekintéssel kapcsolatban hívjon bizalommal!","jó állapotú","1950 elott","összkomfortos","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"91","VI. kerület, Király utca","78 millió Ft","72 m²","2","Eladó a Király utcában, liftes házban, egy 2. emeleti, teljes köru, minoségi felújításon átesett,  72 nm-es, 2 szoba, hallos, világos lakás. Berendezés megegyezés szerint. Most bérlo lakja, aki továbbra is bérelné az ingatlant. A ház homlokzata is nagyon szépen felújított, késo szecessziós stílusban.Budapest népszeru utcája gasztronómiai és kulturális lehetoségekkel teli, pihenni és sportolni a közeli parkokban és a Városligetben is lehet.A közlekedés nagyon jó, közelben a 4-6-os villamos és az M1 metró. Ha felkeltette az érdeklodését az ingatlan, hívjon bizalommal, OTP hitel ügyintézéssel, kedvezo hitellehetoségekkel kapcsolatban is állunk rendelkezésére.","felújított","1950 elott","összkomfortos","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"92","VI. kerület, Izabella utca","78 millió Ft","120 m²","3","A VI. kerület frekventált részén, ANDRÁSSY ÚTtól 20 méterre, az Izabella utcában eladó egy 2. emeleti, 120 nm-es, KÉT BEJÁRATTAL rendelkezo lakás.Jelenleg egy lakásként funkcionál, de egy ajtó megszüntetésével két lakássá alakítható (80 nm+ 40 nm), külön fürdoszobával, konyhával, hálóval. Kiadás, befektetés szempontjából is KITUNO LEHETOSÉG!A nappali és a mellette lévo háló utcai fekvésu, DNy-i tájolású, tágas fürdoszobával és konyha-étkezovel. A külön bejáratú lakás akár önállóan is használható,jelenleg egy tágas szoba fürdovel és alkóvval, a ház belso, csendes udvara felé néz.Az egész lakás VILÁGOS, benapozott.A lakás gépészetileg is FELÚJÍTOTT, a futés cirkó rendszeru.Elhelyezkedése kiváló, Oktogon, Városliget néhány perc sétával elérheto. Itt jár többek között a kis földalatti, az 5-ös busz, a 73-as és a 76-os troli, a Körúton pedig a 4-6-os villamos.Megtekintéssel kapcsolatban hívjon bizalommal!","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"93","VI. kerület, Külso-Terézváros","78 millió Ft","65 m²","2","ELADÓ INGATLAN AZ ANDRÁSSY ÚTON!A 65nm-es ingatlan kiváló lokációval rendelkezik. Második emeleten található udvári kilátással!Két külön nyíló szoba és egy erkély is van az ingatlanban.A házban lift van!A környéken buszok illetve az 1 es METRO segíti az utazást!A Deák Ferenc tér és az Oktogon is 5 perc sétatávra van ahol további közlekedési csomópontok vannak.Számos nagy márkaüzlet található a környeken illetve neves éttermek!Az épületet híres történelmi személy/ építészmérnök, Ybl Miklós tervezte 1879-ben!Az ingatlan mint befektetés, mint irodai célra kiválóan alkalmas de életvitelszeruen is remek választás.","közepes állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","udvari","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"94","IX. kerület, Lónyay utca","78 millió Ft","81 m²","3","Eladó nagy ingatlan!Szép lakás -jó közlekedés és parkolás!Kiadásra vagy saját otthona számára.Izlésesen felújított nagy lakás, ami különleges épületben található.Bovebb információért várom szíves hívását!","felújított","1950 elott","összkomfortos","nincs megadva","2","4","van","3 m-nél magasabb","gáz (cirko)","van","18 E Ft/hó","nincs megadva","külön helyiségben","délnyugat","utcai","6 m²","nincs megadva","nincs megadva","udvari beálló - bérelheto","2 000 Ft/hó"
